key,分類,重量
土類（粘土・ロームの類） 乾燥,土砂および砂利,13
土類（粘土・ロームの類） 通常状態,土砂および砂利,16
土類（粘土・ロームの類） 飽水,土砂および砂利,18
砂 乾燥,土砂および砂利,17
砂 飽水,土砂および砂利,20
砂利 乾燥,土砂および砂利,17
砂利 飽水,土砂および砂利,21
砂混じり砂利 乾燥,土砂および砂利,20
砂混じり砂利 飽水,土砂および砂利,23
軽砂利（軽石の砕石、火山砂利の類）,土砂および砂利,7
軽砂（軽石の砕砂、火山砂の類）,土砂および砂利,9
石炭がら,土砂および砂利,10
スラグ砂利,土砂および砂利,14
軽石,石材,9
凝灰岩,石材,15
砂岩,石材,20
みかげ石・安山岩,石材,27
大理石,石材,27
軽量れんが,れんが,11
空洞れんが,れんが,13
普通れんが,れんが,19
耐火れんが（煙道用シャモットれんが）,れんが,20
スラグれんが,れんが,21
スラグれんが,軽量気泡コンクリートパネル（ALCパネル）,6.5
川砂なし、石炭がらの類,軽量コンクリート（シンダーコンクリート用）,10
浅間または榛名火山砂、同火山れきの類,軽量コンクリート（シンダーコンクリート用）,13
川砂、浅間または榛名火山れきの類,軽量コンクリート（シンダーコンクリート用）,16
川砂、大島崋山れきまたは石炭がらの類,軽量コンクリート（シンダーコンクリート用）,18
Fc≦36,普通コンクリート,23
36＜Fc≦48,普通コンクリート,23.5
48＜Fc≦60,普通コンクリート,24
Fc≦27,軽量コンクリート1種,19
27＜Fc≦36,軽量コンクリート1種,21
Fc≦27,軽量コンクリート2種,17
キリ、ベイモミ,木材（気乾状態）,4
スギ、エゾマツ、トドマツ、ベイスギ、ベイマツ,木材（気乾状態）,5
ヒノキ、モミ、ヒバ、アカマツ、ベイヒ、チーク,木材（気乾状態）,6
クロマツ、ツガ、クリ、サクラ、アカラワン,木材（気乾状態）,7
ケヤキ、カラマツ、シオジ,木材（気乾状態）,8
ナラ、シラカシ,木材（気乾状態）,9
カシワ、アカカシ,木材（気乾状態）,10
コクタン、シタン,木材（気乾状態）,13
