key,建築物の部分,単位面積当たりの荷重,備考
瓦ぶきふき土がない場合,屋根,640,下地及びたるきを含み、もやを含まない
瓦ぶきふき土がある場合,屋根,980,下地及びたるきを含み、もやを含まない
波形鉄板ぶきもやに直接ふく場合,屋根,50,もやを含まない
薄鉄板ぶき,屋根,200,下地及びたるきを含み、もやを含まない
ガラス屋根,屋根,290,鉄製枠を含み、もやを含まない
厚形スレートぶき,屋根,440,下地及びたるきを含み、もやを含まない
もやの支点間の距離が2m以下の場合,木造のもや,50,
もやの支点間の距離が4m以下の場合,木造のもや,100,
さお縁,天井,100,つり木、受木及びその他の下地を含む
繊維板張、打上げ板張、合板張又は金属板張,天井,150,つり木、受木及びその他の下地を含む
木毛セメント板張,天井,200,つり木、受木及びその他の下地を含む
格縁,天井,290,つり木、受木及びその他の下地を含む
しっくい塗,天井,390,つり木、受木及びその他の下地を含む
モルタル塗,天井,590,つり木、受木及びその他の下地を含む
木造の床 板張,床,150,根太を含む
木造の床 畳敷,床,340,床板及び根太を含む
木造の床 床ばり 張り間が4m以下の場合,床,100,
木造の床 床ばり 張り間が6m以下の場合,床,170,
木造の床 床ばり 張り間が8m以下の場合,床,250,
コンクリート造の床の仕上げ 板張,床,200,根太及び大引を含む
コンクリート造の床の仕上げ フロアリングブロック張,床,150,仕上げ厚さ1cmごとに、そのcmの数値を乗ずるものとする
コンクリート造の床の仕上げ モルタル塗、人造石塗及びタイル張,床,200,仕上げ厚さ1cmごとに、そのcmの数値を乗ずるものとする
コンクリート造の床の仕上げ アスファルト防水層,床,150,厚さ1cmごとに、そのcmの数値を乗ずるものとする
木造の建築物の壁の軸組,壁,150,柱、間柱及び筋かいを含む
木造の建築物の壁の仕上げ 下見板張、羽目板張又は繊維板張,壁,100,下地を含み軸組を含まない
木造の建築物の壁の仕上げ 木ずりしっくい塗,壁,340,下地を含み軸組を含まない
木造の建築物の壁の仕上げ 鉄網モルタル塗,壁,640,下地を含み軸組を含まない
木造の建築物の小舞塗,壁,830,軸組を含む
コンクリート造の壁の仕上げ しっくい塗り,壁,170,仕上げ厚さ1cmごとに、そのcmの数値を乗ずるものとする
コンクリート造の壁の仕上げ モルタル塗及び人造石塗,壁,200,仕上げ厚さ1cmごとに、そのcmの数値を乗ずるものとする
コンクリート造の壁の仕上げ タイル張,壁,200,仕上げ厚さ1cmごとに、そのcmの数値を乗ずるものとする
