*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
_,広幅,100×100,H-100x100x6x8x8,100,100,6,8,8,21.59,16.9,378,134,4.18,2.49,75.6,26.7,2.75,3.44,86.4,41,6,8,4.54,FA,FA,75.6,26.7,21.59,3.29,FA,FA,75.6,26.7,21.59,,,,,,
_,広幅,125×125,H-125x125x6.5x9x8,125,125,6.5,9,8,30,23.6,839,293,5.29,3.13,134,46.9,3.45,3.84,152,71.7,6.5,9,5.11,FA,FA,134,46.9,30,3.7,FA,FA,134,46.9,30,,,,,,
_,広幅,150×150,H-150x150x7x10x8,150,150,7,10,8,39.65,31.1,1620,563,6.4,3.77,216,75.1,4.15,4.15,243,114,7,10,5.68,FA,FA,216,75.1,39.65,4.11,FA,FA,216,75.1,39.65,,,,,,
_,広幅,175×175,H-175x175x7.5x11x13,175,175,7.5,11,13,51.43,40.4,2900,984,7.5,4.37,331,112,4.8,4.36,370,172,7.5,11,6.25,FA,FA,331,112,51.43,4.52,FA,FB,331,112,51.43,,,,,,
_,広幅,200×200,H-200x200x8x12x13,200,200,8,12,13,63.53,49.9,4720,1600,8.62,5.02,472,160,5.5,4.59,525,244,8,12,6.82,FA,FA,472,160,63.53,4.93,FB,FB,472,160,63.53,,,,,,
*,広幅,200×200,H-200x204x12x12x13,200,204,12,12,13,71.53,56.2,4980,1700,8.35,4.88,498,167,5.53,4.52,565,257,12,12,6.95,FA,FA,498,167,71.53,5.03,FB,FB,498,167,71.53,,,,,,
*,広幅,200×200,H-208x202x10x16x13,208,202,10,16,13,83.69,65.7,6530,2200,8.83,5.13,628,218,5.61,3.61,710,332,10,16,8.83,FA,FA,628,218,83.69,6.38,FA,FA,628,218,83.69,,,,,,
*,広幅,250×250,H-244x252x11x11x13,244,252,11,11,13,81.31,63.8,8700,2940,10.3,6.01,713,233,6.8,5.99,797,357,11,11,6.45,FB,FC,713,233,81.31,4.67,FC,FC,713,233,81.31,,,,,,
*,広幅,250×250,H-248x249x8x13x13,248,249,8,13,13,83.95,65.9,9850,3350,10.8,6.31,794,269,6.88,5.27,875,408,8,13,7.41,FB,FB,794,269,83.95,5.36,FB,FC,794,269,83.95,,,,,,
_,広幅,250×250,H-250x250x9x14x13,250,250,9,14,13,91.43,71.8,10700,3650,10.8,6.32,860,292,6.91,4.93,953,443,9,14,7.95,FA,FA,860,292,91.43,5.75,FB,FB,860,292,91.43,,,,,,
*,広幅,250×250,H-250x255x14x14x13,250,255,14,14,13,103.9,81.6,11400,3880,10.5,6.11,912,304,6.93,4.85,1030,467,14,14,8.11,FA,FB,912,304,103.9,5.87,FB,FB,912,304,103.9,,,,,,
*,広幅,300×300,H-294x302x12x12x13,294,302,12,12,13,106.3,83.4,16600,5510,12.5,7.2,1130,365,8.16,6.62,1260,558,12,12,7,FC,FC,1130,365,106.3,5.06,FC,FC,1130,365,106.3,,,,,,
*,広幅,300×300,H-298x299x9x14x13,298,299,9,14,13,109.5,86,18600,6240,13,7.55,1250,417,8.25,5.88,1370,632,9,14,7.98,FB,FB,1250,417,109.5,5.77,FC,FC,1250,417,109.5,,,,,,
