*,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2
FALSE,100×100,H-100x100x6x8x8,100,100,6,8,8,21.59,16.9,378,134,4.18,2.49,75.6,26.7,2.75,3.44,86.4,41,6,8
FALSE,125×125,H-125x125x6.5x9x8,125,125,6.5,9,8,30,23.6,839,293,5.29,3.13,134,46.9,3.45,3.84,152,71.7,6.5,9
FALSE,150×150,H-150x150x7x10x8,150,150,7,10,8,39.65,31.1,1620,563,6.4,3.77,216,75.1,4.15,4.15,243,114,7,10
FALSE,175×175,H-175x175x7.5x11x13,175,175,7.5,11,13,51.43,40.4,2900,984,7.5,4.37,331,112,4.8,4.36,370,172,7.5,11
FALSE,200×200,H-200x200x8x12x13,200,200,8,12,13,63.53,49.9,4720,1600,8.62,5.02,472,160,5.5,4.59,525,244,8,12
TRUE,200×200,H-200x204x12x12x13,200,204,12,12,13,71.53,56.2,4980,1700,8.35,4.88,498,167,5.53,4.52,565,257,12,12
TRUE,200×200,H-208x202x10x16x13,208,202,10,16,13,83.69,65.7,6530,2200,8.83,5.13,628,218,5.61,3.61,710,332,10,16
TRUE,250×250,H-244x252x11x11x13,244,252,11,11,13,81.31,63.8,8700,2940,10.3,6.01,713,233,6.8,5.99,797,357,11,11
TRUE,250×250,H-248x249x8x13x13,248,249,8,13,13,83.95,65.9,9850,3350,10.8,6.31,794,269,6.88,5.27,875,408,8,13
FALSE,250×250,H-250x250x9x14x13,250,250,9,14,13,91.43,71.8,10700,3650,10.8,6.32,860,292,6.91,4.93,953,443,9,14
TRUE,250×250,H-250x255x14x14x13,250,255,14,14,13,103.9,81.6,11400,3880,10.5,6.11,912,304,6.93,4.85,1030,467,14,14
TRUE,300×300,H-294x302x12x12x13,294,302,12,12,13,106.3,83.4,16600,5510,12.5,7.2,1130,365,8.16,6.62,1260,558,12,12
TRUE,300×300,H-298x299x9x14x13,298,299,9,14,13,109.5,86,18600,6240,13,7.55,1250,417,8.25,5.88,1370,632,9,14
FALSE,300×300,H-300x300x10x15x13,300,300,10,15,13,118.5,93,20200,6750,13.1,7.55,1350,450,8.28,5.52,1480,683,10,15
TRUE,300×300,H-300x305x15x15x13,300,305,15,15,13,133.5,105,21300,7100,12.6,7.3,1420,466,8.28,5.43,1600,714,15,15
TRUE,300×300,H-304x301x11x17x13,304,301,11,17,13,133.5,105,23200,7730,13.2,7.61,1520,514,8.34,4.95,1690,779,11,17
TRUE,350×350,H-338x351x13x13x13,338,351,13,13,13,133.3,105,27700,9380,14.4,8.39,1640,534,9.49,7.03,1820,815,13,13
TRUE,350×350,H-344x348x10x16x13,344,348,10,16,13,144,113,32800,11200,15.1,8.84,1910,646,9.64,5.95,2090,978,10,16
TRUE,350×350,H-344x354x16x16x13,344,354,16,16,13,164.7,129,34900,11800,14.6,8.48,2030,669,9.62,5.84,2270,1020,16,16
FALSE,350×350,H-350x350x12x19x13,350,350,12,19,13,171.9,135,39800,13600,15.2,8.89,2280,776,9.71,5.11,2520,1180,12,19
TRUE,350×350,H-350x357x19x19x13,350,357,19,19,13,196.4,154,42300,14400,14.7,8.57,2420,808,9.74,5.02,2730,1240,19,19
TRUE,350×350,H-356x352x14x22x13,356,352,14,22,13,200,157,47100,16000,15.4,8.94,2650,909,9.79,4.5,2950,1380,14,22
TRUE,400×400,H-388x402x15x15x22,388,402,15,15,22,178.5,140,49000,16300,16.6,9.55,2520,809,10.8,6.94,2800,1240,15,15
TRUE,400×400,H-394x398x11x18x22,394,398,11,18,22,186.8,147,56100,18900,17.3,10.1,2850,951,10.9,6.02,3120,1440,11,18
TRUE,400×400,H-394x405x18x18x22,394,405,18,18,22,214.4,168,59700,20000,16.7,9.65,3030,985,10.9,5.9,3390,1510,18,18
FALSE,400×400,H-400x400x13x21x22,400,400,13,21,22,218.7,172,66600,22400,17.5,10.1,3330,1120,11,5.25,3670,1700,13,21
TRUE,400×400,H-400x408x21x21x22,400,408,21,21,22,250.7,197,70900,23800,16.8,9.75,3540,1170,11.1,5.16,3990,1790,21,21
TRUE,400×400,H-406x403x16x24x22,406,403,16,24,22,254.9,200,78000,26200,17.5,10.1,3840,1300,11.1,4.67,4280,1980,16,24
TRUE,400×400,H-414x405x18x28x22,414,405,18,28,22,295.4,232,92800,31000,17.7,10.2,4480,1530,11.2,4.1,5030,2330,18,28
TRUE,400×400,H-428x407x20x35x22,428,407,20,35,22,360.7,283,119000,39400,18.2,10.4,5570,1930,11.4,3.42,6310,2940,20,35
TRUE,400×400,H-458x417x30x50x22,458,417,30,50,22,528.6,415,187000,60500,18.8,10.7,8170,2900,11.8,2.58,9540,4440,30,50
TRUE,400×400,H-498x432x45x70x22,498,432,45,70,22,770.1,605,298000,94400,19.7,11.1,12000,4370,12.3,2.03,14500,6720,45,70
FALSE,150×100,H-148x100x6x9x8,148,100,6,9,8,26.35,20.7,1000,150,6.17,2.39,135,30.1,2.71,4.46,154,46.4,6,9
FALSE,200×150,H-194x150x6x9x8,194,150,6,9,8,38.11,29.9,2630,507,8.3,3.65,271,67.6,4.09,5.87,301,103,6,9
