key,断面,鋼種,lb,幅厚比柱,幅厚比梁,Zxe,Zye,Ae
H-100x100x6x8x8-SN400,H-100x100x6x8x8,SN400,4.54,FA,FA,75.6,26.7,21.59
H-100x100x6x8x8-SN490,H-100x100x6x8x8,SN490,3.29,FA,FA,75.6,26.7,21.59
H-125x125x6.5x9x8-SN400,H-125x125x6.5x9x8,SN400,5.11,FA,FA,134,46.9,30
H-125x125x6.5x9x8-SN490,H-125x125x6.5x9x8,SN490,3.7,FA,FA,134,46.9,30
H-150x150x7x10x8-SN400,H-150x150x7x10x8,SN400,5.68,FA,FA,216,75.1,39.65
H-150x150x7x10x8-SN490,H-150x150x7x10x8,SN490,4.11,FA,FA,216,75.1,39.65
H-175x175x7.5x11x13-SN400,H-175x175x7.5x11x13,SN400,6.25,FA,FA,331,112,51.43
H-175x175x7.5x11x13-SN490,H-175x175x7.5x11x13,SN490,4.52,FA,FB,331,112,51.43
H-200x200x8x12x13-SN400,H-200x200x8x12x13,SN400,6.82,FA,FA,472,160,63.53
H-200x200x8x12x13-SN490,H-200x200x8x12x13,SN490,4.93,FB,FB,472,160,63.53
H-200x204x12x12x13-SN400,H-200x204x12x12x13,SN400,6.95,FA,FA,498,167,71.53
H-200x204x12x12x13-SN490,H-200x204x12x12x13,SN490,5.03,FB,FB,498,167,71.53
H-208x202x10x16x13-SN400,H-208x202x10x16x13,SN400,8.83,FA,FA,628,218,83.69
H-208x202x10x16x13-SN490,H-208x202x10x16x13,SN490,6.38,FA,FA,628,218,83.69
H-244x252x11x11x13-SN400,H-244x252x11x11x13,SN400,6.45,FB,FC,713,233,81.31
H-244x252x11x11x13-SN490,H-244x252x11x11x13,SN490,4.67,FC,FC,713,233,81.31
H-248x249x8x13x13-SN400,H-248x249x8x13x13,SN400,7.41,FB,FB,794,269,83.95
H-248x249x8x13x13-SN490,H-248x249x8x13x13,SN490,5.36,FB,FC,794,269,83.95
H-250x250x9x14x13-SN400,H-250x250x9x14x13,SN400,7.95,FA,FA,860,292,91.43
H-250x250x9x14x13-SN490,H-250x250x9x14x13,SN490,5.75,FB,FB,860,292,91.43
H-250x255x14x14x13-SN400,H-250x255x14x14x13,SN400,8.11,FA,FB,912,304,103.9
H-250x255x14x14x13-SN490,H-250x255x14x14x13,SN490,5.87,FB,FB,912,304,103.9
H-294x302x12x12x13-SN400,H-294x302x12x12x13,SN400,7,FC,FC,1130,365,106.3
H-294x302x12x12x13-SN490,H-294x302x12x12x13,SN490,5.06,FC,FC,1130,365,106.3
H-298x299x9x14x13-SN400,H-298x299x9x14x13,SN400,7.98,FB,FB,1250,417,109.5
