D,t,A,W,Ix,ix,Zx,Zpx,幅厚比235,幅厚比325,幅厚比355,幅厚比385,幅厚比440
400,9,110.6,86.8,21100,13.8,1060,1380,FA,FB,－,－,－
400,12,146.3,115,27600,13.7,1380,1810,FA,FA,－,－,－
400,16,193,152,35600,13.6,1780,2360,FA,FA,FA,－,－
400,19,227.4,179,41400,13.5,2070,2760,FA,FA,FA,FA,FA
400,22,261.3,205,46800,13.4,2340,3150,FA,FA,FA,FA,FA
400,25,294.5,231,52000,13.3,2600,3520,FA,FA,FA,FA,FA
400,28,327.2,257,56900,13.2,2850,3880,FA,FA,FA,FA,FA
400,32,370,290,63100,13.1,3150,4340,FA,FA,FA,FA,FA
400,36,411.7,323,68800,12.9,3440,4790,FA,FA,FA,FA,FA
400,40,452.4,355,74200,12.8,3710,5210,FA,FA,FA,FA,－
450,12,165.1,130,39600,15.5,1760,2300,FA,FB,－,－,－
450,16,218.2,171,51400,15.4,2290,3020,FA,FA,FA,－,－
450,19,257.3,202,59900,15.3,2660,3530,FA,FA,FA,FA,FA
450,22,295.8,232,67900,15.2,3020,4030,FA,FA,FA,FA,FA
450,25,333.8,262,75600,15.1,3360,4520,FA,FA,FA,FA,FA
450,28,371.2,291,83000,15,3690,4990,FA,FA,FA,FA,FA
450,32,420.2,330,92300,14.8,4100,5600,FA,FA,FA,FA,FA
450,36,468.2,368,101000,14.7,4490,6190,FA,FA,FA,FA,FA
450,40,515.2,404,109000,14.6,4860,6750,FA,FA,FA,FA,FA
450,45,572.6,449,119000,14.4,5280,7410,FA,FA,FA,FA,－
500,12,184,144,54800,17.3,2190,2860,FA,FB,－,－,－
500,16,243.3,191,71300,17.1,2850,3750,FA,FA,FA,－,－
500,19,287.1,225,83200,17,3330,4400,FA,FA,FA,FA,FA
500,22,330.4,259,94600,16.9,3780,5030,FA,FA,FA,FA,FA
500,25,373.1,293,106000,16.8,4220,5650,FA,FA,FA,FA,FA
500,28,415.2,326,116000,16.7,4640,6250,FA,FA,FA,FA,FA
500,32,470.5,369,129000,16.6,5180,7020,FA,FA,FA,FA,FA
500,36,524.8,412,142000,16.5,5680,7770,FA,FA,FA,FA,FA
500,40,578.1,454,154000,16.3,6160,8490,FA,FA,FA,FA,FA
500,45,643.2,505,168000,16.2,6720,9350,FA,FA,FA,FA,FA
500,50,706.9,555,181000,16,7250,10200,FA,FA,FA,FA,－
550,12,202.8,159,73400,19,2670,3470,FA,FB,－,－,－
550,16,268.4,211,95800,18.9,3480,4560,FA,FA,FB,－,－
550,19,317,249,112000,18.8,4070,5360,FA,FA,FA,FA,FB
550,22,364.9,286,127000,18.7,4630,6140,FA,FA,FA,FA,FA
550,25,412.3,324,142000,18.6,5180,6900,FA,FA,FA,FA,FA
550,28,459.2,360,157000,18.5,5700,7640,FA,FA,FA,FA,FA
550,32,520.8,409,175000,18.3,6380,8600,FA,FA,FA,FA,FA
550,36,581.3,456,193000,18.2,7020,9530,FA,FA,FA,FA,FA
550,40,640.9,503,210000,18.1,7620,10400,FA,FA,FA,FA,FA
550,45,713.9,560,229000,17.9,8340,11500,FA,FA,FA,FA,FA
550,50,785.4,616,248000,17.8,9010,12500,FA,FA,FA,FA,－
550,55,855.3,671,265000,17.6,9640,13500,FA,FA,FA,FA,－
600,12,221.7,174,95800,20.8,3190,4150,FA,FB,－,－,－
600,16,293.6,230,125000,20.7,4170,5460,FA,FB,FB,－,－
