*,key,D,t,A,W,Ix,ix,Zx,Zpx,幅厚比235,幅厚比325
_,〇-101.6x3.2,101.6,3.2,9.892,7.76,120,3.48,23.6,31,FA,
_,〇-101.6x4.2,101.6,4.2,12.85,10.1,153,3.45,30.1,39.9,FA,
_,〇-101.6x5.7,101.6,5.7,17.17,13.5,198,3.4,39,52.5,FA,
_,〇-114.3x3.5,114.3,3.5,12.18,9.56,187,3.92,32.7,43,FA,
_,〇-114.3x4.5,114.3,4.5,15.52,12.2,234,3.89,41,54.3,FA,FA
_,〇-114.3x8.6,114.3,8.6,28.56,22.4,401,3.75,70.2,96.3,FA,
_,〇-139.8x4.5,139.8,4.5,19.13,15,438,4.79,62.7,82.4,FA,FA
_,〇-139.8x6,139.8,6,25.22,19.8,566,4.74,80.9,107,,FA
_,〇-139.8x6.6,139.8,6.6,27.62,21.7,614,4.72,87.8,117,FA,FA
_,〇-165.2x4.5,165.2,4.5,22.72,17.8,734,5.68,88.9,116,FA,
_,〇-165.2x5,165.2,5,25.16,19.8,808,5.67,97.8,128,FA,FA
_,〇-165.2x6,165.2,6,30.01,23.6,952,5.63,115,152,FA,FA
_,〇-165.2x7.1,165.2,7.1,35.26,27.7,1100,5.6,134,178,FA,FA
_,〇-165.2x11,165.2,11,53.29,41.8,1590,5.47,193,262,FA,FA
_,〇-190.7x4.5,190.7,4.5,26.32,20.7,1140,6.59,120,156,FA,
_,〇-190.7x5.3,190.7,5.3,30.87,24.2,1330,6.56,139,182,FA,FA
_,〇-190.7x6,190.7,6,34.82,27.3,1490,6.53,156,205,FA,
_,〇-190.7x7,190.7,7,40.4,31.7,1710,6.5,179,236,FA,
_,〇-190.7x8.2,190.7,8.2,47.01,36.9,1960,6.46,206,273,,FA
_,〇-216.3x4.5,216.3,4.5,29.94,23.5,1680,7.49,155,202,FA,
_,〇-216.3x5.8,216.3,5.8,38.36,30.1,2130,7.45,197,257,FA,FB
_,〇-216.3x6,216.3,6,39.64,31.1,2190,7.44,203,265,FA,
_,〇-216.3x7,216.3,7,46.03,36.1,2520,7.4,233,307,FA,
_,〇-216.3x8.2,216.3,8.2,53.61,42.1,2910,7.36,269,355,FA,FA
_,〇-216.3x12.7,216.3,12.7,81.23,63.8,4230,7.21,391,527,FA,FA
_,〇-267.4x6,267.4,6,49.27,38.7,4210,9.24,315,410,FA,
_,〇-267.4x6.6,267.4,6.6,54.08,42.4,4600,9.22,344,449,FA,FB
_,〇-267.4x9.3,267.4,9.3,75.41,59.2,6290,9.13,470,620,FA,FA
_,〇-267.4x12.7,267.4,12.7,101.6,79.8,8260,9.02,618,825,FA,FA
_,〇-318.5x6,318.5,6,58.91,46.2,7190,11.1,452,586,FB,
_,〇-318.5x6.9,318.5,6.9,67.55,53,8200,11,515,670,FA,FB
_,〇-318.5x7.9,318.5,7.9,77.09,60.5,9300,11,584,762,FA,FB
_,〇-318.5x9,318.5,9,87.51,68.7,10500,10.9,659,862,FA,
_,〇-318.5x10.3,318.5,10.3,99.73,78.3,11900,10.9,744,979,FA,FA
