key,D,t,A,W,Ix,ix,Zx,Zpx,幅厚比235,幅厚比325
〇-101.6x12,101.6,12,33.78,26.5,345,3.2,67.9,96.9,FA,FA
〇-101.6x28,101.6,28,64.74,50.8,502,2.78,98.8,159,FA,FA
〇-105x12,105,12,35.06,27.5,385,3.32,73.4,104,FA,FA
〇-105x28,105,28,67.73,53.2,568,2.9,108,173,FA,FA
〇-110x12,110,12,36.95,29,450,3.49,81.9,116,FA,FA
〇-110x28,110,28,72.13,56.6,677,3.06,123,196,FA,FA
〇-114.3x12,114.3,12,38.57,30.3,511,3.64,89.5,126,FA,FA
〇-114.3x28,114.3,28,75.91,59.6,781,3.21,137,216,FA,FA
〇-120x12,120,12,40.72,32,601,3.84,100,141,FA,FA
〇-120x28,120,28,80.93,63.5,936,3.4,156,244,FA,FA
〇-127x12,127,12,43.35,34,724,4.09,114,159,FA,FA
〇-127x28,127,28,87.08,68.4,1150,3.64,181,282,FA,FA
〇-130x12,130,12,44.48,34.9,782,4.19,120,168,FA,FA
〇-130x28,130,28,89.72,70.4,1250,3.74,193,299,FA,FA
〇-135x12,135,12,46.37,36.4,885,4.37,131,182,FA,FA
〇-135x28,135,28,94.12,73.9,1440,3.91,213,328,FA,FA
〇-139.8x12,139.8,12,48.18,37.8,992,4.54,142,197,FA,FA
〇-139.8x32,139.8,32,108.4,85.1,1710,3.98,245,383,FA,FA
〇-141.3x12,141.3,12,48.74,38.3,1030,4.59,145,201,FA,FA
〇-141.3x32,141.3,32,109.9,86.3,1780,4.03,252,393,FA,FA
〇-146x12,146,12,50.52,39.7,1140,4.76,157,216,FA,FA
〇-146x32,146,32,114.6,90,2010,4.19,275,427,FA,FA
〇-152.4x12,152.4,12,52.93,41.5,1310,4.98,172,237,FA,FA
〇-152.4x36,152.4,36,131.6,103,2440,4.31,321,503,FA,FA
〇-159x12,159,12,55.42,43.5,1510,5.21,190,260,FA,FA
〇-159x36,159,36,139.1,109,2860,4.53,359,560,FA,FA
〇-165.2x12,165.2,12,57.76,45.3,1700,5.43,206,282,FA,FA
〇-165.2x36,165.2,36,146.1,115,3290,4.74,398,616,FA,FA
〇-168.3x12,168.3,12,58.92,46.3,1810,5.54,215,294,FA,FA
〇-168.3x36,168.3,36,149.6,117,3520,4.85,418,646,FA,FA
〇-177.8x12,177.8,12,62.51,49.1,2160,5.88,243,330,FA,FA
〇-177.8x36,177.8,36,160.4,126,4290,5.17,483,739,FA,FA
〇-180x12,180,12,63.33,49.7,2250,5.95,250,339,FA,FA
〇-180x36,180,36,162.9,128,4490,5.25,498,762,FA,FA
〇-185x12,185,12,65.22,51.2,2450,6.13,265,360,FA,FA
〇-185x36,185,36,168.5,132,4950,5.42,535,815,FA,FA
〇-190.7x12,190.7,12,67.37,52.9,2700,6.33,283,384,FA,FA
〇-190.7x40,190.7,40,189.4,149,5750,5.51,604,930,FA,FA
〇-193.7x12,193.7,12,68.5,53.8,2840,6.44,293,397,FA,FA
〇-193.7x40,193.7,40,193.1,152,6090,5.62,629,966,FA,FA
〇-203x12,203,12,72.01,56.5,3300,6.77,325,438,FA,FA
〇-203x40,203,40,204.8,161,7210,5.93,711,1080,FA,FA
〇-205x12,205,12,72.76,57.1,3400,6.84,332,448,FA,FA
〇-205x40,205,40,207.3,163,7470,6,729,1110,FA,FA
〇-216.3x16,216.3,16,100.7,79,5080,7.1,470,643,FA,FA
〇-216.3x40,216.3,40,221.5,174,9050,6.39,837,1260,FA,FA
〇-219.1x16,219.1,16,102.1,80.1,5300,7.2,483,661,FA,FA
〇-219.1x40,219.1,40,225.1,177,9470,6.49,865,1300,FA,FA
〇-232x16,232,16,108.6,85.2,6370,7.66,549,748,FA,FA
〇-232x40,232,40,241.3,189,11600,6.93,1000,1500,FA,FA
〇-241.8x16,241.8,16,113.5,89.1,7270,8,601,817,FA,FA
〇-241.8x40,241.8,40,253.6,199,13400,7.27,1110,1650,FA,FA
〇-244.5x16,244.5,16,114.9,90.2,7530,8.1,616,837,FA,FA
〇-244.5x40,244.5,40,257,202,13900,7.37,1140,1690,FA,FA
〇-267.4x16,267.4,16,126.4,99.2,10000,8.91,750,1010,FA,FA
〇-267.4x40,267.4,40,285.8,224,19000,8.16,1420,2090,FA,FA
〇-273.1x16,273.1,16,129.2,101,10700,9.11,785,1060,FA,FA
〇-273.1x40,273.1,40,292.9,230,20500,8.36,1500,2190,FA,FA
〇-298.5x16,298.5,16,142,111,14200,10,952,1280,FA,FA
〇-298.5x40,298.5,40,324.8,255,27800,9.25,1860,2690,FA,FA
〇-318.5x16,318.5,16,152.1,119,17400,10.7,1100,1470,FA,FA
〇-318.5x36,318.5,36,319.5,251,32400,10.1,2030,2890,FA,FA
〇-323.8x16,323.8,16,154.7,121,18400,10.9,1130,1520,FA,FA
〇-323.8x32,323.8,32,293.3,230,31600,10.4,1950,2740,FA,FA
〇-339.7x16,339.7,16,162.7,128,21400,11.5,1260,1680,FA,FA
〇-339.7x36,339.7,36,343.5,270,40200,10.8,2360,3340,FA,FA
〇-355.6x16,355.6,16,170.7,134,24700,12,1390,1850,FA,FA
〇-355.6x40,355.6,40,396.6,311,50200,11.2,2820,4010,FA,FA
〇-365.1x16,365.1,16,175.5,138,26800,12.4,1470,1950,FA,FA
〇-365.1x40,365.1,40,408.5,321,54800,11.6,3000,4250,FA,FA
〇-400x16,400,16,193,152,35600,13.6,1780,2360,FA,FA
〇-400x40,400,40,452.4,355,74200,12.8,3710,5210,FA,FA
