厚さ,単位質量
3.2,25.12
4.5,35.32
5,39.25
5.5,43.18
6,47.1
6.5,51.02
7,54.95
7.5,58.88
8,62.8
8.5,66.72
9,70.65
9.5,74.58
10,78.5
10.5,82.42
11,86.35
11.5,90.28
12,94.2
12.5,98.12
13,102
13.5,106
14,109.9
14.5,113.8
15,117.8
15.5,121.7
16,125.6
16.5,129.5
17,133.5
17.5,137.4
18,141.3
18.5,145.2
19,149.2
19.5,153.1
20,157
20.5,160.9
21,164.8
21.5,168.8
22,172.7
22.5,176.6
23,180.6
23.5,184.5
24,188.4
24.5,192.3
25,196.2
25.5,200.2
26,204.1
26.5,208
27,212
27.5,215.9
28,219.8
28.5,223.7
29,227.6
29.5,231.6
30,235.5
31,243.4
32,251.2
33,259
34,266.9
35,274.8
36,282.6
37,290.4
38,298.3
39,306.2
40,314
42,329.7
45,353.2
50,392.5
55,431.8
60,471
65,510.2
70,549.5
75,588.8
80,628
85,667.2
90,706.5
95,745.8
100,785
110,863.5
120,942
130,1021
150,1178
