key,厚さ,幅,断面積,単位質量
FB-4.5x25,4.5,25,1.125,0.88
FB-4.5x32,4.5,32,1.44,1.13
FB-4.5x38,4.5,38,1.71,1.34
FB-4.5x44,4.5,44,1.98,1.55
FB-4.5x50,4.5,50,2.25,1.77
FB-4.5x65,4.5,65,2.925,2.3
FB-4.5x75,4.5,75,3.375,2.65
FB-4.5x90,4.5,90,4.05,3.18
FB-4.5x100,4.5,100,4.5,3.53
FB-4.5x125,4.5,125,5.625,4.42
FB-4.5x150,4.5,150,6.75,5.3
FB-6x25,6,25,1.5,1.18
FB-6x32,6,32,1.92,1.51
FB-6x38,6,38,2.28,1.79
FB-6x44,6,44,2.64,2.07
FB-6x50,6,50,3,2.36
FB-6x65,6,65,3.9,3.06
FB-6x75,6,75,4.5,3.53
FB-6x90,6,90,5.4,4.24
FB-6x100,6,100,6,4.71
FB-6x125,6,125,7.5,5.89
FB-6x150,6,150,9,7.06
FB-6x180,6,180,10.8,8.48
FB-6x200,6,200,12,9.42
FB-6x230,6,230,13.8,10.8
FB-6x250,6,250,15,11.8
FB-6x280,6,280,16.8,13.2
FB-6x300,6,300,18,14.1
FB-8x25,8,25,2,1.57
FB-8x32,8,32,2.56,2.01
FB-8x38,8,38,3.04,2.39
FB-8x44,8,44,3.52,2.76
FB-8x50,8,50,4,3.14
FB-8x65,8,65,5.2,4.08
FB-8x75,8,75,6,4.71
FB-8x90,8,90,7.2,5.65
FB-8x100,8,100,8,6.28
FB-8x125,8,125,10,7.85
FB-8x150,8,150,12,9.42
FB-8x180,8,180,14.4,11.3
FB-8x200,8,200,16,12.6
FB-8x230,8,230,18.4,14.4
FB-8x250,8,250,20,15.7
FB-8x280,8,280,22.4,17.6
FB-8x300,8,300,24,18.8
FB-8x350,8,350,28,22
FB-8x400,8,400,32,25.1
FB-9x25,9,25,2.25,1.77
FB-9x32,9,32,2.88,2.26
FB-9x38,9,38,3.42,2.68
FB-9x44,9,44,3.96,3.11
FB-9x50,9,50,4.5,3.53
