シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Cx,Ix,Iy,ix,iy,Zx,Zy
75×150,CT-75x150x7x10x8,75,150,7,10,8,19.82,15.6,1.37,66.4,282,1.83,3.77,10.8,37.5
87.5×175,CT-87.5x175x7.5x11x13,87.5,175,7.5,11,13,25.71,20.2,1.55,115,492,2.11,4.37,15.9,56.2
100×200,CT-100x200x8x12x13,100,200,8,12,13,31.77,24.9,1.73,184,801,2.41,5.02,22.3,80.1
100×150,CT-97x150x6x9x8,97,150,6,9,8,19.05,15,1.8,124,253,2.56,3.65,15.8,33.8
125×175,CT-122x175x7x11x13,122,175,7,11,13,27.75,21.8,2.28,288,492,3.22,4.21,29.1,56.2
150×200,CT-147x200x8x12x13,147,200,8,12,13,35.53,27.9,2.85,571,801,4.01,4.75,48.2,80.1
100×100,CT-100x100x5.5x8x8,100,100,5.5,8,8,13.33,10.5,2.31,114,66.9,2.93,2.24,14.8,13.4
125×125,CT-125x125x6x9x8,125,125,6,9,8,18.48,14.5,2.81,248,147,3.66,2.82,25.6,23.5
150×150,CT-150x150x6.5x9x13,150,150,6.5,9,13,23.39,18.4,3.41,464,254,4.45,3.29,40,33.8
175×175,CT-175x175x7x11x13,175,175,7,11,13,31.46,24.7,3.76,814,492,5.09,3.96,59.3,56.2
200×200,CT-200x200x8x13x13,200,200,8,13,13,41.69,32.7,4.26,1390,868,5.78,4.56,88.6,86.8
