*,シリーズ,key,H,B,t,r1,r2,A,W,Cx,Ix,Iu,Iv,ix,iu,iv,Zx
_,20×20,L-20x20x3,20,20,3,4,2,1.127,0.885,0.595,0.388,0.613,0.163,0.587,0.737,0.38,0.276
_,25×25,L-25x25x3,25,25,3,4,2,1.427,1.12,0.719,0.797,1.26,0.332,0.747,0.94,0.483,0.448
_,30×30,L-30x30x3,30,30,3,4,2,1.727,1.36,0.844,1.42,2.26,0.59,0.908,1.14,0.585,0.661
_,30×30,L-30x30x5,30,30,5,4,3,2.746,2.16,0.917,2.14,3.37,0.902,0.882,1.11,0.573,1.03
_,40×40,L-40x40x3,40,40,3,4.5,2,2.336,1.83,1.09,3.53,5.6,1.46,1.23,1.55,0.79,1.21
*,40×40,L-40x40x4,40,40,4,4.5,2,3.066,2.41,1.13,4.55,7.23,1.88,1.22,1.54,0.783,1.59
_,40×40,L-40x40x5,40,40,5,4.5,3,3.755,2.95,1.17,5.42,8.59,2.25,1.2,1.51,0.774,1.91
*,40×40,L-40x40x6,40,40,6,4.5,3,4.445,3.49,1.2,6.31,9.97,2.64,1.19,1.5,0.771,2.26
*,45×45,L-45x45x3,45,45,3,6.5,2,2.684,2.11,1.2,5.12,8.09,2.15,1.38,1.74,0.895,1.55
_,45×45,L-45x45x4,45,45,4,6.5,3,3.492,2.74,1.24,6.5,10.3,2.7,1.36,1.72,0.88,2
_,45×45,L-45x45x5,45,45,5,6.5,3,4.302,3.38,1.28,7.91,12.5,3.29,1.36,1.71,0.874,2.46
*,50×50,L-50x50x3,50,50,3,6.5,3,2.962,2.33,1.32,6.95,11,2.91,1.53,1.93,0.99,1.89
_,50×50,L-50x50x4,50,50,4,6.5,3,3.892,3.06,1.37,9.06,14.4,3.76,1.53,1.92,0.983,2.49
*,50×50,L-50x50x5,50,50,5,6.5,3,4.802,3.77,1.41,11.1,17.5,4.58,1.52,1.91,0.976,3.08
_,50×50,L-50x50x6,50,50,6,6.5,4.5,5.644,4.43,1.44,12.6,20,5.23,1.5,1.88,0.963,3.55
_,50×50,L-50x50x8,50,50,8,6.5,4.5,7.364,5.78,1.52,16.1,25.4,6.76,1.48,1.86,0.958,4.62
_,60×60,L-60x60x4,60,60,4,6.5,3,4.692,3.68,1.61,16,25.4,6.62,1.85,2.33,1.19,3.66
_,60×60,L-60x60x5,60,60,5,6.5,3,5.802,4.55,1.66,19.6,31.2,8.09,1.84,2.32,1.18,4.52
*,60×60,L-60x60x6,60,60,6,6.5,3,6.892,5.41,1.7,23,36.6,9.51,1.83,2.3,1.17,5.36
