シリーズ,key,H,B,t1,t2,r1,r2,A,W,Cx,Cy,Ix,Iy,最大Iu,最大Iv,ix,iy,最大iu,最大iv,tanα,Zx,Zy
200×90,L-200x90x8x14,200,90,8,14,14,7,27.8,21.8,6.07,2.24,1120,197,1190,121,6.34,2.66,6.56,2.09,0.275,80.3,29.1
200×90,L-200x90x9x14,200,90,9,14,14,7,29.66,23.3,6.36,2.15,1210,200,1290,125,6.39,2.6,6.58,2.05,0.263,88.7,29.2
200×90,L-200x90x10x14,200,90,10,14,14,7,31.52,24.7,6.61,2.08,1300,202,1370,128,6.41,2.53,6.6,2.01,0.252,96.9,29.2
250×90,L-250x90x9x14,250,90,9,14,17,8.5,34.31,26.9,8.46,1.91,2240,209,2320,137,8.09,2.47,8.22,2,0.185,136,29.5
250×90,L-250x90x9x15,250,90,9,15,17,8.5,35.12,27.6,8.3,1.98,2280,221,2360,142,8.06,2.51,8.2,2.02,0.192,137,31.5
250×90,L-250x90x10x15,250,90,10,15,17,8.5,37.47,29.4,8.61,1.92,2440,223,2520,147,8.08,2.44,8.2,1.98,0.182,149,31.5
250×90,L-250x90x11x16,250,90,11,16,17,8.5,40.61,31.9,8.74,1.93,2640,237,2720,157,8.06,2.41,8.19,1.96,0.18,162,33.5
250×90,L-250x90x12x16,250,90,12,16,17,8.5,42.95,33.7,8.99,1.89,2790,238,2870,160,8.07,2.35,8.18,1.93,0.173,174,33.5
300×90,L-300x90x10x16,300,90,10,16,19,9.5,43.38,34.1,10.6,1.81,4100,243,4180,164,9.73,2.37,9.82,1.95,0.142,212,33.8
300×90,L-300x90x11x16,300,90,11,16,19,9.5,46.22,36.3,11,1.76,4370,245,4440,168,9.72,2.3,9.8,1.9,0.136,229,33.8
300×90,L-300x90x12x17,300,90,12,17,19,9.5,49.84,39.1,11.1,1.78,4690,258,4770,178,9.7,2.28,9.78,1.89,0.134,248,35.8
300×90,L-300x90x13x17,300,90,13,17,19,9.5,52.67,41.3,11.3,1.75,4940,259,5020,181,9.68,2.22,9.76,1.85,0.128,265,35.8
350×100,L-350x100x11x17,350,100,11,17,22,11,54.41,42.7,12.7,1.92,7030,360,7140,246,11.4,2.57,11.5,2.13,0.129,314,44.5
350×100,L-350x100x12x17,350,100,12,17,22,11,57.74,45.3,13,1.87,7440,362,7550,251,11.3,2.5,11.4,2.08,0.124,338,44.5
400×100,L-400x100x11.5x16,400,100,11.5,16,24,12,61.09,47.9,15.3,1.71,10300,349,10400,248,13,2.39,13,2.02,0.1,416,42.1
400×100,L-400x100x12x18,400,100,12,18,24,12,64.77,50.8,15.1,1.8,10900,387,11000,272,13,2.44,13,2.05,0.104,437,47.2
400×100,L-400x100x13x18,400,100,13,18,24,12,68.59,53.8,15.4,1.77,11500,388,11600,277,12.9,2.38,13,2.01,0.0996,467,47.1
450×125,L-450x125x11.5x18,450,125,11.5,18,24,12,73.11,57.4,16.2,2.29,15700,768,16000,525,14.7,3.24,14.8,2.68,0.126,547,75.2
