,key,H,B,t1,t2,r1,r2,A,W,Ix,Iy,ix,iy,Zx,Zy
100×75,I-100x75x5x8,100,75,5,8,7,3.5,16.43,12.9,281,47.3,4.14,1.7,56.2,12.6
125×75,I-125x75x5.5x9.5,125,75,5.5,9.5,9,4.5,20.45,16.1,538,57.5,5.13,1.68,86,15.3
150×75,I-150x75x5.5x9.5,150,75,5.5,9.5,9,4.5,21.83,17.1,819,57.5,6.12,1.62,109,15.3
150×125,I-150x125x8.5x14,150,125,8.5,14,13,6.5,46.15,36.2,1760,385,6.18,2.89,235,61.6
180×100,I-180x100x6x10,180,100,6,10,10,5,30.06,23.6,1670,138,7.45,2.14,186,27.5
200×100,I-200x100x7x10,200,100,7,10,10,5,33.06,26,2170,138,8.11,2.05,217,27.7
200×150,I-200x150x9x16,200,150,9,16,15,7.5,64.16,50.4,4460,753,8.34,3.43,446,100
250×125,I-250x125x7.5x12.5,250,125,7.5,12.5,12,6,48.79,38.3,5180,337,10.3,2.63,414,53.9
250×125,I-250x125x10x19,250,125,10,19,21,10.5,70.73,55.5,7310,538,10.2,2.76,585,86
300×150,I-300x150x8x13,300,150,8,13,12,6,61.58,48.3,9480,588,12.4,3.09,632,78.4
300×150,I-300x150x10x18.5,300,150,10,18.5,19,9.5,83.47,65.5,12700,886,12.3,3.26,849,118
300×150,I-300x150x11.5x22,300,150,11.5,22,23,11.5,97.88,76.8,14700,1080,12.2,3.32,978,143
350×150,I-350x150x9x15,350,150,9,15,13,6.5,74.58,58.5,15200,702,14.3,3.07,870,93.5
350×150,I-350x150x12x24,350,150,12,24,25,12.5,111.1,87.2,22400,1180,14.2,3.26,1280,158
400×150,I-400x150x10x18,400,150,10,18,17,8.5,91.73,72,24100,864,16.2,3.07,1200,115
400×150,I-400x150x12.5x25,400,150,12.5,25,27,13.5,122.1,95.8,31700,1240,16.1,3.18,1580,165
450×175,I-450x175x11x20,450,175,11,20,19,9.5,116.8,91.7,39200,1510,18.3,3.6,1740,173
450×175,I-450x175x13x26,450,175,13,26,27,13.5,146.1,115,48800,2020,18.3,3.72,2170,231
600×190,I-600x190x13x25,600,190,13,25,25,12.5,169.4,133,98400,2460,24.1,3.81,3280,259
600×190,I-600x190x16x35,600,190,16,35,38,19,224.5,176,130000,3540,24.1,3.97,4330,373
