シリーズ,key,H,B,t,A,W,Ix,Iy,ix,iy,Zx,Zy,Zpx,Zpy
50×50,□-50x50x1.6,50,50,1.6,3.032,2.38,11.7,11.7,1.96,1.96,4.68,4.68,5.46,5.46
50×50,□-50x50x2,50,50,2,3.737,2.93,14.1,14.1,1.95,1.95,5.66,5.66,6.66,6.66
50×50,□-50x50x2.3,50,50,2.3,4.252,3.34,15.9,15.9,1.93,1.93,6.34,6.34,7.52,7.52
50×50,□-50x50x3.2,50,50,3.2,5.727,4.5,20.4,20.4,1.89,1.89,8.16,8.16,9.89,9.89
60×60,□-60x60x1.6,60,60,1.6,3.672,2.88,20.7,20.7,2.37,2.37,6.89,6.89,7.99,7.99
60×60,□-60x60x2,60,60,2,4.537,3.56,25.1,25.1,2.35,2.35,8.38,8.38,9.79,9.79
60×60,□-60x60x2.3,60,60,2.3,5.172,4.06,28.3,28.3,2.34,2.34,9.44,9.44,11.1,11.1
60×60,□-60x60x3.2,60,60,3.2,7.007,5.5,36.9,36.9,2.3,2.3,12.3,12.3,14.7,14.7
75×75,□-75x75x1.6,75,75,1.6,4.632,3.64,41.3,41.3,2.99,2.99,11,11,12.7,12.7
75×75,□-75x75x2.3,75,75,2.3,6.552,5.14,57.1,57.1,2.95,2.95,15.2,15.2,17.7,17.7
75×75,□-75x75x3.2,75,75,3.2,8.927,7.01,75.5,75.5,2.91,2.91,20.1,20.1,23.8,23.8
75×75,□-75x75x4.5,75,75,4.5,12.17,9.55,98.6,98.6,2.85,2.85,26.3,26.3,31.7,31.7
100×100,□-100x100x2.3,100,100,2.3,8.852,6.95,140,140,3.97,3.97,27.9,27.9,32.3,32.3
100×100,□-100x100x3.2,100,100,3.2,12.13,9.52,187,187,3.93,3.93,37.5,37.5,43.7,43.7
100×100,□-100x100x4.5,100,100,4.5,16.67,13.1,249,249,3.87,3.87,49.9,49.9,59,59
100×100,□-100x100x6,100,100,6,21.63,17,311,311,3.79,3.79,62.3,62.3,75.1,75.1
100×100,□-100x100x9,100,100,9,30.67,24.1,408,408,3.65,3.65,81.6,81.6,102,102
100×100,□-100x100x12,100,100,12,38.53,30.2,471,471,3.5,3.5,94.3,94.3,123,123
125×125,□-125x125x3.2,125,125,3.2,15.33,12,376,376,4.95,4.95,60.1,60.1,69.6,69.6
125×125,□-125x125x4.5,125,125,4.5,21.17,16.6,506,506,4.89,4.89,80.9,80.9,94.8,94.8
125×125,□-125x125x6,125,125,6,27.63,21.7,641,641,4.82,4.82,103,103,122,122
125×125,□-125x125x9,125,125,9,39.67,31.1,865,865,4.67,4.67,138,138,169,169
125×125,□-125x125x12,125,125,12,50.53,39.7,1030,1030,4.52,4.52,165,165,208,208
150×150,□-150x150x4.5,150,150,4.5,25.67,20.1,896,896,5.91,5.91,120,120,139,139
150×150,□-150x150x6,150,150,6,33.63,26.4,1150,1150,5.84,5.84,153,153,180,180
150×150,□-150x150x9,150,150,9,48.67,38.2,1580,1580,5.69,5.69,210,210,253,253
150×150,□-150x150x12,150,150,12,62.53,49.1,1920,1920,5.54,5.54,256,256,317,317
175×175,□-175x175x4.5,175,175,4.5,30.17,23.7,1450,1450,6.93,6.93,166,166,192,192
175×175,□-175x175x6,175,175,6,39.63,31.1,1860,1860,6.86,6.86,213,213,249,249
175×175,□-175x175x9,175,175,9,57.67,45.3,2600,2600,6.71,6.71,297,297,354,354
175×175,□-175x175x12,175,175,12,74.53,58.5,3210,3210,6.57,6.57,367,367,447,447
200×200,□-200x200x4.5,200,200,4.5,34.67,27.2,2190,2190,7.95,7.95,219,219,253,253
200×200,□-200x200x6,200,200,6,45.63,35.8,2830,2830,7.88,7.88,283,283,330,330
200×200,□-200x200x8,200,200,8,59.79,46.9,3620,3620,7.78,7.78,362,362,426,426
200×200,□-200x200x9,200,200,9,66.67,52.3,3990,3990,7.73,7.73,399,399,472,472
200×200,□-200x200x12,200,200,12,86.53,67.9,4980,4980,7.59,7.59,498,498,601,601
60×30,□-60x30x1.6,60,30,1.6,2.712,2.13,12.5,4.25,2.15,1.25,4.16,2.83,5.19,3.2
60×30,□-60x30x2.3,60,30,2.3,3.792,2.98,16.8,5.65,2.11,1.22,5.61,3.76,7.11,4.37
60×30,□-60x30x3.2,60,30,3.2,5.087,3.99,21.4,7.08,2.05,1.18,7.15,4.72,9.27,5.66
75×45,□-75x45x1.6,75,45,1.6,3.672,2.88,28.4,12.9,2.78,1.88,7.56,5.75,9.16,6.46
75×45,□-75x45x2.3,75,45,2.3,5.172,4.06,38.9,17.6,2.74,1.84,10.4,7.82,12.7,8.94
75×45,□-75x45x3.2,75,45,3.2,7.007,5.5,50.8,22.8,2.69,1.8,13.5,10.1,16.9,11.8
100×40,□-100x40x1.6,100,40,1.6,4.312,3.38,53.5,12.9,3.52,1.73,10.7,6.44,13.5,7.1
100×40,□-100x40x2.3,100,40,2.3,6.092,4.78,73.9,17.5,3.48,1.7,14.8,8.77,18.8,9.85
100×40,□-100x40x4.2,100,40,4.2,10.6,8.32,120,27.6,3.36,1.61,24,13.8,31.5,16.3
100×50,□-100x50x1.6,100,50,1.6,4.632,3.64,61.3,21.1,3.64,2.13,12.3,8.43,15,9.33
100×50,□-100x50x2.3,100,50,2.3,6.552,5.14,84.8,29,3.6,2.1,17,11.6,21,13
100×50,□-100x50x3.2,100,50,3.2,8.927,7.01,112,38,3.55,2.06,22.5,15.2,28.2,17.4
100×50,□-100x50x4.5,100,50,4.5,12.17,9.55,147,48.9,3.47,2,29.3,19.5,37.6,23
125×40,□-125x40x1.6,125,40,1.6,5.112,4.01,94.4,15.8,4.3,1.76,15.1,7.91,19.4,8.63
125×40,□-125x40x2.3,125,40,2.3,7.242,5.69,131,21.6,4.25,1.73,20.9,10.8,27.1,12
125×75,□-125x75x2.3,125,75,2.3,8.852,6.95,192,87.5,4.65,3.14,30.6,23.3,37,26.1
