*,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,H/t,ïùå˙î‰295,ïùå˙î‰385
TRUE,Å†-150x150x6,150,150,6,15.0 ,33.32,26.2,1130,5.82,150,178,25,FA,
TRUE,Å†-150x150x9,150,150,9,22.5 ,47.98,37.7,1540,5.66,205,248,16.7,FA,
TRUE,Å†-150x150x12,150,150,12,30.0 ,61.3,48.1,1850,5.5,247,307,12.5,FA,
TRUE,Å†-175x175x6,175,175,6,15.0 ,39.32,30.9,1840,6.84,210,246,29.2,FA,
TRUE,Å†-175x175x9,175,175,9,22.5 ,56.98,44.7,2550,6.68,291,348,19.4,FA,
TRUE,Å†-175x175x12,175,175,12,30.0 ,73.3,57.5,3120,6.52,356,437,14.6,FA,
TRUE,Å†-200x200x6,200,200,6,15.0 ,45.32,35.6,2800,7.86,280,327,33.3,FC,
TRUE,Å†-200x200x8,200,200,8,20.0 ,59.24,46.5,3570,7.76,357,421,25,FA,
TRUE,Å†-200x200x9,200,200,9,22.5 ,65.98,51.8,3920,7.71,392,465,22.2,FA,
TRUE,Å†-200x200x12,200,200,12,30.0 ,85.3,67,4860,7.55,486,588,16.7,FA,
FALSE,Å†-250x250x6,250,250,6,15.0 ,57.32,45,5620,9.9,450,521,41.7,FC,FD
TRUE,Å†-250x250x8,250,250,8,20.0 ,75.24,59.1,7230,9.8,578,676,31.3,FB,
FALSE,Å†-250x250x9,250,250,9,22.5 ,83.98,65.9,7980,9.75,639,750,27.8,FA,FB
FALSE,Å†-250x250x12,250,250,12,30.0 ,109.3,85.8,10100,9.59,805,959,20.8,FA,FA
TRUE,Å†-250x250x14,250,250,14,35.0 ,125.4,98.5,11300,9.49,903,1090,17.9,FA,
FALSE,Å†-250x250x16,250,250,16,40.0 ,141,111,12400,9.38,992,1210,15.6,FA,FA
FALSE,Å†-300x300x6,300,300,6,15.0 ,69.32,54.4,9890,11.9,660,760,50,FD,FD
TRUE,Å†-300x300x8,300,300,8,20.0 ,91.24,71.6,12800,11.8,853,991,37.5,FC,
FALSE,Å†-300x300x9,300,300,9,22.5 ,102,80.1,14200,11.8,946,1100,33.3,FC,FC
FALSE,Å†-300x300x12,300,300,12,30.0 ,133.3,105,18100,11.6,1200,1420,25,FA,FA
TRUE,Å†-300x300x14,300,300,14,35.0 ,153.4,120,20400,11.5,1360,1620,21.4,FA,
FALSE,Å†-300x300x16,300,300,16,40.0 ,173,136,22600,11.4,1510,1810,18.8,FA,FA
FALSE,Å†-300x300x19,300,300,19,47.5 ,201.2,158,25500,11.3,1700,2070,15.8,FA,FA
TRUE,Å†-300x300x22,300,300,22,55.0 ,228,179,28100,11.1,1870,2310,13.6,FA,
FALSE,Å†-350x350x9,350,350,9,22.5 ,120,94.2,23000,13.8,1310,1520,38.9,FC,FD
FALSE,Å†-350x350x12,350,350,12,30.0 ,157.3,123,29400,13.7,1680,1970,29.2,FA,FC
