シリーズ,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,幅厚比325,幅厚比385,幅厚比440
400×400,□-400x400x16,400,400,16,0,245.8,193,60500,15.7,3030,3540,FA,FA,FB
400×400,□-400x400x19,400,400,19,0,289.6,227,70200,15.6,3510,4140,FA,FA,FA
400×400,□-400x400x22,400,400,22,0,332.6,261,79500,15.5,3970,4720,FA,FA,FA
400×400,□-400x400x25,400,400,25,0,375,294,88300,15.3,4410,5280,FA,FA,FA
400×400,□-400x400x28,400,400,28,0,416.6,327,96600,15.2,4830,5820,FA,FA,FA
400×400,□-400x400x32,400,400,32,0,471,370,107000,15.1,5360,6520,FA,FA,FA
450×450,□-450x450x16,450,450,16,0,277.8,218,87300,17.7,3880,4520,FB,FB,FC
450×450,□-450x450x19,450,450,19,0,327.6,257,102000,17.6,4520,5300,FA,FA,FA
450×450,□-450x450x22,450,450,22,0,376.6,296,115000,17.5,5120,6050,FA,FA,FA
450×450,□-450x450x25,450,450,25,0,425,334,128000,17.4,5710,6780,FA,FA,FA
450×450,□-450x450x28,450,450,28,0,472.6,371,141000,17.3,6260,7490,FA,FA,FA
450×450,□-450x450x32,450,450,32,0,535,420,157000,17.1,6970,8400,FA,FA,FA
450×450,□-450x450x36,450,450,36,0,596.2,468,172000,17,7630,9280,FA,FA,FA
450×450,□-450x450x40,450,450,40,0,656,515,186000,16.8,8250,10100,FA,FA,FA
500×500,□-500x500x16,500,500,16,0,309.8,243,121000,19.8,4840,5620,FB,FC,FC
500×500,□-500x500x19,500,500,19,0,365.6,287,141000,19.7,5650,6600,FA,FB,FB
500×500,□-500x500x22,500,500,22,0,420.6,330,161000,19.5,6420,7550,FA,FA,FA
500×500,□-500x500x25,500,500,25,0,475,373,179000,19.4,7160,8470,FA,FA,FA
500×500,□-500x500x28,500,500,28,0,528.6,415,197000,19.3,7880,9370,FA,FA,FA
500×500,□-500x500x32,500,500,32,0,599,470,220000,19.2,8790,10500,FA,FA,FA
500×500,□-500x500x36,500,500,36,0,668.2,525,241000,19,9650,11600,FA,FA,FA
500×500,□-500x500x40,500,500,40,0,736,578,262000,18.9,10500,12700,FA,FA,FA
500×500,□-500x500x45,500,500,45,0,819,643,285000,18.7,11400,14000,FA,FA,FA
500×500,□-500x500x50,500,500,50,0,900,707,308000,18.5,12300,15300,FA,FA,FA
550×550,□-550x550x16,550,550,16,0,341.8,268,163000,21.8,5910,6850,FC,FC,FC
550×550,□-550x550x19,550,550,19,0,403.6,317,190000,21.7,6910,8040,FB,FC,FC
550×550,□-550x550x22,550,550,22,0,464.6,365,216000,21.6,7860,9210,FA,FA,FB
550×550,□-550x550x25,550,550,25,0,525,412,242000,21.5,8790,10300,FA,FA,FA
550×550,□-550x550x28,550,550,28,0,584.6,459,266000,21.3,9680,11500,FA,FA,FA
550×550,□-550x550x32,550,550,32,0,663,520,298000,21.2,10800,12900,FA,FA,FA
550×550,□-550x550x36,550,550,36,0,740.2,581,328000,21,11900,14300,FA,FA,FA
550×550,□-550x550x40,550,550,40,0,816,641,356000,20.9,12900,15600,FA,FA,FA
550×550,□-550x550x45,550,550,45,0,909,714,389000,20.7,14200,17300,FA,FA,FA
550×550,□-550x550x50,550,550,50,0,1000,785,421000,20.5,15300,18800,FA,FA,FA
550×550,□-550x550x55,550,550,55,0,1089,855,450000,20.3,16400,20300,FA,FA,FA
600×600,□-600x600x19,600,600,19,0,441.6,347,249000,23.7,8290,9620,FC,FC,FC
600×600,□-600x600x22,600,600,22,0,508.6,399,284000,23.6,9450,11000,FA,FB,FC
600×600,□-600x600x25,600,600,25,0,575,451,317000,23.5,10600,12400,FA,FA,FA
600×600,□-600x600x28,600,600,28,0,640.6,503,350000,23.4,11700,13800,FA,FA,FA
600×600,□-600x600x32,600,600,32,0,727,571,392000,23.2,13100,15500,FA,FA,FA
600×600,□-600x600x36,600,600,36,0,812.2,638,432000,23.1,14400,17200,FA,FA,FA
600×600,□-600x600x40,600,600,40,0,896,703,471000,22.9,15700,18800,FA,FA,FA
600×600,□-600x600x45,600,600,45,0,999,784,516000,22.7,17200,20800,FA,FA,FA
600×600,□-600x600x50,600,600,50,0,1100,864,559000,22.5,18600,22800,FA,FA,FA
600×600,□-600x600x55,600,600,55,0,1199,941,600000,22.4,20000,24600,FA,FA,FA
600×600,□-600x600x60,600,600,60,0,1296,1017,638000,22.2,21300,26400,FA,FA,FA
650×650,□-650x650x19,650,650,19,0,479.6,376,319000,25.8,9800,11400,FC,FC,FC
650×650,□-650x650x22,650,650,22,0,552.6,434,364000,25.7,11200,13000,FB,FC,FC
650×650,□-650x650x25,650,650,25,0,625,491,408000,25.5,12500,14700,FA,FB,FB
650×650,□-650x650x28,650,650,28,0,696.6,547,450000,25.4,13800,16300,FA,FA,FA
650×650,□-650x650x32,650,650,32,0,791,621,505000,25.3,15500,18300,FA,FA,FA
650×650,□-650x650x36,650,650,36,0,884.2,694,557000,25.1,17200,20400,FA,FA,FA
650×650,□-650x650x40,650,650,40,0,976,766,608000,25,18700,22400,FA,FA,FA
650×650,□-650x650x45,650,650,45,0,1089,855,668000,24.8,20600,24800,FA,FA,FA
650×650,□-650x650x50,650,650,50,0,1200,942,725000,24.6,22300,27100,FA,FA,FA
650×650,□-650x650x55,650,650,55,0,1309,1028,779000,24.4,24000,29300,FA,FA,FA
650×650,□-650x650x60,650,650,60,0,1416,1112,830000,24.2,25500,31400,FA,FA,FA
650×650,□-650x650x65,650,650,65,0,1521,1194,878000,24,27000,33500,FA,FA,FA
700×700,□-700x700x19,700,700,19,0,517.6,406,400000,27.8,11400,13200,FC,FC,FD
700×700,□-700x700x22,700,700,22,0,596.6,468,458000,27.7,13100,15200,FC,FC,FC
700×700,□-700x700x25,700,700,25,0,675,530,513000,27.6,14700,17100,FA,FB,FC
700×700,□-700x700x28,700,700,28,0,752.6,591,567000,27.5,16200,19000,FA,FA,FB
700×700,□-700x700x32,700,700,32,0,855,671,637000,27.3,18200,21400,FA,FA,FA
700×700,□-700x700x36,700,700,36,0,956.2,751,705000,27.1,20100,23800,FA,FA,FA
700×700,□-700x700x40,700,700,40,0,1056,829,769000,27,22000,26200,FA,FA,FA
700×700,□-700x700x45,700,700,45,0,1179,926,847000,26.8,24200,29000,FA,FA,FA
