*,シリーズ,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,幅厚比235,幅厚比325,幅厚比385,幅厚比440
*,450×450,□-450x450x12,450,450,12,42,202.8,159,63500,17.7,2820,3290,FC,FC,－,－
_,450×450,□-450x450x16,450,450,16,56,264.6,208,80600,17.5,3580,4230,FA,FB,－,－
_,450×450,□-450x450x19,450,450,19,66.5,309,243,92200,17.3,4100,4880,FA,FA,FA,FA
_,450×450,□-450x450x22,450,450,22,77,351.7,276,103000,17.1,4560,5490,FA,FA,FA,FA
_,450×450,□-450x450x25,450,450,25,87.5,392.8,308,112000,16.9,4980,6050,FA,FA,FA,FA
_,450×450,□-450x450x28,450,450,28,98,432.3,339,121000,16.7,5360,6580,FA,FA,FA,FA
_,450×450,□-450x450x32,450,450,32,112,482.3,379,130000,16.4,5780,7210,FA,FA,FA,FA
*,500×500,□-500x500x12,500,500,12,42,226.8,178,88400,19.7,3540,4100,FC,FD,－,－
_,500×500,□-500x500x16,500,500,16,56,296.6,233,113000,19.5,4510,5290,FA,FB,－,－
_,500×500,□-500x500x19,500,500,19,66.5,347,272,130000,19.3,5180,6130,FA,FA,FB,FB
_,500×500,□-500x500x22,500,500,22,77,395.7,311,145000,19.1,5800,6920,FA,FA,FA,FA
_,500×500,□-500x500x25,500,500,25,87.5,442.8,348,159000,18.9,6360,7660,FA,FA,FA,FA
_,500×500,□-500x500x28,500,500,28,98,488.3,383,172000,18.8,6870,8360,FA,FA,FA,FA
_,500×500,□-500x500x32,500,500,32,112,546.3,429,187000,18.5,7470,9210,FA,FA,FA,FA
_,500×500,□-500x500x36,500,500,36,126,601.4,472,200000,18.2,7990,9970,FA,FA,FA,FA
_,500×500,□-500x500x40,500,500,40,140,653.6,513,210000,17.9,8420,10700,,FA,FA,FA
*,550×550,□-550x550x12,550,550,12,42,250.8,197,119000,21.8,4330,5010,FC,FD,－,－
_,550×550,□-550x550x16,550,550,16,56,328.6,258,153000,21.5,5550,6480,FB,FC,－,－
_,550×550,□-550x550x19,550,550,19,66.5,385,302,176000,21.4,6390,7530,FA,FB,FC,FC
_,550×550,□-550x550x22,550,550,22,77,439.7,345,197000,21.2,7180,8520,FA,FA,FA,FB
_,550×550,□-550x550x25,550,550,25,87.5,492.8,387,217000,21,7900,9460,FA,FA,FA,FA
_,550×550,□-550x550x28,550,550,28,98,544.3,427,236000,20.8,8570,10300,FA,FA,FA,FA
_,550×550,□-550x550x32,550,550,32,112,610.3,479,258000,20.6,9380,11400,FA,FA,FA,FA
_,550×550,□-550x550x36,550,550,36,126,673.4,529,277000,20.3,10100,12400,FA,FA,FA,FA
_,550×550,□-550x550x40,550,550,40,140,733.6,576,294000,20,10700,13400,FA,FA,FA,FA
*,600×600,□-600x600x12,600,600,12,42,274.8,216,156000,23.8,5200,6000,FD,FD,－,－
_,600×600,□-600x600x16,600,600,16,56,360.6,283,201000,23.6,6690,7790,FC,FC,－,－
_,600×600,□-600x600x19,600,600,19,66.5,423,332,232000,23.4,7730,9070,FA,FC,FC,FC
_,600×600,□-600x600x22,600,600,22,77,483.7,380,261000,23.2,8710,10300,FA,FA,FB,FC
_,600×600,□-600x600x25,600,600,25,87.5,542.8,426,288000,23.1,9620,11400,FA,FA,FA,FA
_,600×600,□-600x600x28,600,600,28,98,600.3,471,314000,22.9,10500,12500,FA,FA,FA,FA
_,600×600,□-600x600x32,600,600,32,112,674.3,529,345000,22.6,11500,13900,FA,FA,FA,FA
_,600×600,□-600x600x36,600,600,36,126,745.4,585,372000,22.4,12400,15200,FA,FA,FA,FA
_,600×600,□-600x600x40,600,600,40,140,813.6,639,397000,22.1,13200,16400,FA,FA,FA,FA
_,600×600,□-600x600x45,600,600,45,157.5,894.7,702,423000,21.7,14100,17700,－,－,FA,FA
_,650×650,□-650x650x16,650,650,16,56,392.6,308,258000,25.6,7940,9220,FC,FC,－,－
_,650×650,□-650x650x19,650,650,19,66.5,461,362,299000,25.5,9200,10700,FB,FC,FC,FC
_,650×650,□-650x650x22,650,650,22,77,527.7,414,337000,25.3,10400,12200,FA,FB,FC,FC
_,650×650,□-650x650x25,650,650,25,87.5,592.8,465,374000,25.1,11500,13600,FA,FA,FB,FB
_,650×650,□-650x650x28,650,650,28,98,656.3,515,407000,24.9,12500,14900,FA,FA,FA,FA
_,650×650,□-650x650x32,650,650,32,112,738.3,580,449000,24.7,13800,16600,FA,FA,FA,FA
_,650×650,□-650x650x36,650,650,36,126,817.4,642,487000,24.4,15000,18200,FA,FA,FA,FA
_,650×650,□-650x650x40,650,650,40,140,893.6,702,521000,24.1,16000,19700,FA,FA,FA,FA
_,650×650,□-650x650x45,650,650,45,157.5,984.7,773,558000,23.8,17200,21300,－,－,FA,FA
_,650×650,□-650x650x50,650,650,50,175,1071,841,590000,23.5,18200,22900,－,－,FA,FA
_,700×700,□-700x700x19,700,700,19,66.5,499,392,378000,27.5,10800,12600,FB,FC,FC,FD
_,700×700,□-700x700x22,700,700,22,77,571.7,449,427000,27.3,12200,14300,FA,FC,FC,FC
_,700×700,□-700x700x25,700,700,25,87.5,642.8,505,474000,27.1,13500,16000,FA,FA,FB,FC
_,700×700,□-700x700x28,700,700,28,98,712.3,559,518000,27,14800,17600,FA,FA,FA,FB
_,700×700,□-700x700x32,700,700,32,112,802.3,630,573000,26.7,16400,19600,FA,FA,FA,FA
_,700×700,□-700x700x36,700,700,36,126,889.4,698,623000,26.5,17800,21500,FA,FA,FA,FA
_,700×700,□-700x700x40,700,700,40,140,973.6,764,669000,26.2,19100,23300,FA,FA,FA,FA
_,700×700,□-700x700x45,700,700,45,157.5,1075,844,720000,25.9,20600,25300,－,－,FA,FA
_,700×700,□-700x700x50,700,700,50,175,1171,919,764000,25.5,21800,27200,－,－,FA,FA
_,750×750,□-750x750x19,750,750,19,66.5,537,422,469000,29.6,12500,14500,FC,FC,FD,FD
_,750×750,□-750x750x22,750,750,22,77,615.7,483,531000,29.4,14200,16600,FB,FC,FC,FC
_,750×750,□-750x750x25,750,750,25,87.5,692.8,544,591000,29.2,15700,18500,FA,FB,FC,FC
_,750×750,□-750x750x28,750,750,28,98,768.3,603,647000,29,17200,20400,FA,FA,FB,FB
_,750×750,□-750x750x32,750,750,32,112,866.3,680,717000,28.8,19100,22800,FA,FA,FA,FA
_,750×750,□-750x750x36,750,750,36,126,961.4,755,782000,28.5,20900,25000,FA,FA,FA,FA
_,750×750,□-750x750x40,750,750,40,140,1054,827,842000,28.3,22400,27200,FA,FA,FA,FA
_,750×750,□-750x750x45,750,750,45,157.5,1165,914,909000,27.9,24200,29700,－,－,FA,FA
_,750×750,□-750x750x50,750,750,50,175,1271,998,969000,27.6,25800,32000,－,－,FA,FA
_,800×800,□-800x800x19,800,800,19,66.5,575,451,574000,31.6,14300,16600,FC,FD,FD,FD
_,800×800,□-800x800x22,800,800,22,77,659.7,518,651000,31.4,16300,19000,FB,FC,FC,FD
_,800×800,□-800x800x25,800,800,25,87.5,742.8,583,725000,31.2,18100,21200,FA,FC,FC,FC
_,800×800,□-800x800x28,800,800,28,98,824.3,647,795000,31.1,19900,23400,FA,FB,FB,FC
_,800×800,□-800x800x32,800,800,32,112,930.3,730,884000,30.8,22100,26200,FA,FA,FA,FB
_,800×800,□-800x800x36,800,800,36,126,1033,811,966000,30.6,24100,28900,FA,FA,FA,FA
_,800×800,□-800x800x40,800,800,40,140,1134,890,1040000,30.3,26100,31400,FA,FA,FA,FA
_,800×800,□-800x800x45,800,800,45,157.5,1255,985,1130000,30,28200,34300,－,－,FA,FA
_,800×800,□-800x800x50,800,800,50,175,1371,1076,1210000,29.7,30200,37100,－,－,FA,FA
_,850×850,□-850x850x19,850,850,19,66.5,613,481,694000,33.6,16300,18900,FC,FD,FD,FD
_,850×850,□-850x850x22,850,850,22,77,703.7,552,788000,33.5,18500,21600,FC,FC,FD,FD
