key,鋼種,呼び,軸径,孔径,軸断面積,有効断面積,基準張力,1面摩擦,2面摩擦,許容引張力,1面せん断,2面せん断,引張
F8T-M12,F8T,M12,12,14,113,84.3,400,12.1,24.1,28.2,54.2,108,67.2
F8T-M16,F8T,M16,16,18,201,157,400,21.4,42.9,50.3,96.5,193,125
F8T-M20,F8T,M20,20,22,314,245,400,33.5,67,78.5,151,301,196
F8T-M22,F8T,M22,22,24,380,303,400,40.5,81.1,95,182,365,242
F8T-M24,F8T,M24,24,26,452,353,400,48.2,96.4,113,217,434,282
F8T-M27,F8T,M27,27,30,572,459,400,61,122,143,274,549,367
F8T-M30,F8T,M30,30,33,707,561,400,75.4,151,177,339,679,448
F10T-M12,F10T,M12,12,14,113,84.3,500,17,33.9,35.1,67.9,136,84
F10T-M16,F10T,M16,16,18,201,157,500,30.2,60.3,62.3,121,241,157
F10T-M20,F10T,M20,20,22,314,245,500,47.1,94.2,97.4,188,377,245
F10T-M22,F10T,M22,22,24,380,303,500,57,114,118,228,456,303
F10T-M24,F10T,M24,24,26,452,353,500,67.9,136,140,271,542,353
F10T-M27,F10T,M27,27,30,572,459,500,85.9,172,177,343,686,459
F10T-M30,F10T,M30,30,33,707,561,500,106,212,219,424,848,561
