key,ボルト呼び径,有効断面積,4.6・4.8 1面せん断,4.6・4.8 2面せん断,4.6・4.8 許容引張力,5.6・5.8 1面せん断,5.6・5.8 2面せん断,5.6・5.8 許容引張力,6.8 1面せん断,6.8 2面せん断,6.8 許容引張力
M6,M6,20.1,1.86,3.71,3.22,2.32,4.64,4.02,3.25,6.5,5.63
M8,M8,36.6,3.38,6.76,5.86,4.23,8.45,7.32,5.92,11.8,10.2
M10,M10,58,5.36,10.7,9.28,6.7,13.4,11.6,9.38,18.8,16.2
M12,M12,84.3,7.79,15.6,13.5,9.73,19.5,16.9,13.6,27.3,23.6
M16,M16,157,14.5,29,25.1,18.1,36.3,31.4,25.4,50.8,44
M20,M20,245,22.6,45.3,39.2,28.3,56.6,49,39.6,79.2,68.6
M22,M22,303,28,56,48.5,35,70,60.6,49,98,84.8
M24,M24,353,32.6,65.2,56.5,40.8,81.5,70.6,57.1,114,98.8
M27,M27,459,42.4,84.8,73.4,53,106,91.8,74.2,148,129
M30,M30,561,51.8,104,89.8,64.8,130,112,90.7,181,157
