*,key,H,B,tw,tf,nF,mF,g1,g2,stfo,spL,stfi,spBi,mW,nW,Pc,stw,stB,stL,My,dZ,Qy,dAw,Mu,αj,Lq,L1,L2
_,H-294x200x8x12,294,200,8,12,3,2,120,ー,9,410,9,80,3,1,60,9,200,170,195,600,297,15.84,332,1.2,1.47,6.18,1.64
_,H-340x250x9x14,340,250,9,14,4,2,150,ー,12,530,12,100,3,2,60,9,200,290,337,1040,405,21.6,570,1.2,1.77,7.88,2.06
_,H-400x200x8x13,400,200,8,13,3,2,120,ー,9,410,9,80,4,1,60,9,260,170,305,939,417,22.24,488,1.1,1.63,5.94,1.3
_,H-390x300x10x16,390,300,10,16,4,2,150,40,12,440,12,110,3,2,90,9,260,290,507,1560,536,28.6,855,1.2,2.07,9.56,2.47
_,H-450x200x9x14,450,200,9,14,3,2,120,ー,12,410,12,80,5,1,60,9,320,170,382,1180,510,27.18,665,1.2,1.68,5.76,1.25
_,H-440x300x11x18,440,300,11,18,5,2,150,40,12,530,12,110,5,1,60,9,320,170,652,2010,586,31.24,1040,1.1,2.44,9.44,2.46
_,H-500x200x10x16,500,200,10,16,3,2,120,ー,12,410,12,80,6,1,60,9,380,170,491,1510,607,32.4,856,1.2,1.82,5.68,1.28
_,H-488x300x11x18,488,300,11,18,5,2,150,40,12,530,12,110,6,1,60,9,380,170,742,2280,635,33.88,1180,1.1,2.55,9.28,2.22
_,H-600x200x11x17,600,200,11,17,3,2,120,ー,12,410,12,80,5,2,90,9,440,290,645,1980,920,49.06,1110,1.1,1.64,5.41,1.14
_,H-588x300x12x20,588,300,12,20,5,2,150,40,12,530,16,110,5,2,90,9,440,290,1020,3160,963,51.36,1720,1.2,2.34,9.02,2.05
_,H-700x300x13x24,700,300,13,24,7,2,150,40,19,710,19,110,6,2,90,12,530,290,1490,4610,1230,66.04,2580,1.2,2.65,8.89,2.06
_,H-800x300x14x26,800,300,14,26,7,2,150,40,19,710,19,110,7,2,90,12,620,290,1900,5870,1520,81.2,3310,1.2,2.75,8.68,1.95
_,H-890x299x15x23,890,299,15,23,7,2,150,40,16,710,19,110,10,2,60,16,620,290,2050,6330,1700,90.6,3640,1.2,2.67,8.07,1.55
_,H-900x300x16x28,900,300,16,28,8,2,150,40,19,800,22,110,10,2,60,16,620,290,2410,7430,1810,96.64,4250,1.2,2.94,8.36,1.87
_,H-912x302x18x34,912,302,18,34,9,2,150,40,25,890,25,110,11,2,60,16,680,290,2880,8870,1950,104.4,5080,1.2,3.26,8.58,2.26
_,H-918x303x19x37,918,303,19,37,10,2,150,40,25,980,28,110,11,2,60,16,680,290,3110,9600,2060,110.2,5490,1.2,3.35,8.67,2.45
_,SH-400x200x9x12,400,200,9,12,3,2,120,ー,9,410,9,80,4,1,60,9,260,170,296,911,472,25.2,494,1.1,1.4,5.7,1.2
_,SH-400x200x9x16,400,200,9,16,3,2,120,ー,12,410,12,80,4,1,60,9,260,170,360,1110,459,24.48,619,1.2,1.76,6.05,1.6
