*,key,H,B,tw,tf,nF,mF,g1,g2,stfo,spL,stfi,spBi,mW,nW,Pc,stw,stB,stL,My,dZ,Qy,dAw,Mu,αj,Lq,L1,L2
_,SH-600x250x12x22,600,250,12,22,7,2,150,－,16,890,16,100,7,2,60,9,440,290,1110,3130,988,1.2,48.24,1860,2.24,,
_,SH-600x250x12x25,600,250,12,25,8,2,150,－,16,1010,19,100,7,2,60,9,440,290,1210,3430,973,1.2,47.52,2030,2.49,,
_,SH-600x250x14x22,600,250,14,22,7,2,150,－,16,890,16,100,5,3,90,12,440,410,1140,3230,1270,1.2,62.44,1940,1.8,,
_,SH-600x250x14x25,600,250,14,25,8,2,150,－,16,1010,19,100,5,3,90,12,440,410,1250,3520,1260,1.2,61.6,2110,1.99,,
_,SH-600x250x14x28,600,250,14,28,9,2,150,－,19,1130,19,100,5,3,90,12,440,410,1350,3810,1240,1.2,60.76,2270,2.18,,
_,SH-600x250x16x22,600,250,16,22,7,2,150,－,16,890,16,100,6,3,60,16,380,410,1180,3330,1390,1.2,67.84,2020,1.71,,
_,SH-600x250x16x25,600,250,16,25,8,2,150,－,16,1010,19,100,6,3,60,16,380,410,1280,3610,1370,1.2,66.88,2180,1.89,,
_,SH-600x250x16x28,600,250,16,28,9,2,150,－,19,1130,19,100,6,3,60,16,380,410,1380,3900,1350,1.2,65.92,2350,2.07,,
_,SH-600x300x12x22,600,300,12,22,8,2,150,40,16,800,16,110,6,2,60,12,380,290,1250,3540,1040,1.2,50.88,2080,2.45,,
_,SH-600x300x12x25,600,300,12,25,9,2,150,40,16,890,19,110,6,2,60,12,380,290,1380,3890,1020,1.2,50.16,2280,2.73,,
_,SH-600x300x14x22,600,300,14,22,8,2,150,40,16,800,16,110,5,3,90,12,440,410,1290,3640,1270,1.2,62.44,2160,2.06,,
_,SH-600x300x14x25,600,300,14,25,9,2,150,40,16,890,19,110,5,3,90,12,440,410,1410,3980,1260,1.2,61.6,2360,2.29,,
_,SH-600x300x14x28,600,300,14,28,10,2,150,40,19,980,19,110,5,3,90,12,440,410,1530,4320,1240,1.2,60.76,2550,2.52,,
_,SH-600x300x16x22,600,300,16,22,8,2,150,40,16,800,16,110,6,3,60,16,380,410,1320,3740,1390,1.2,67.84,2240,1.96,,
_,SH-600x300x16x25,600,300,16,25,9,2,150,40,16,890,19,110,6,3,60,16,380,410,1440,4080,1370,1.2,66.88,2430,2.17,,
_,SH-600x300x16x28,600,300,16,28,10,2,150,40,19,980,19,110,6,3,60,16,380,410,1560,4410,1350,1.2,65.92,2630,2.38,,
_,SH-650x250x12x22,650,250,12,22,7,2,150,－,16,890,16,100,6,2,90,9,530,290,1230,3480,1160,1.2,56.88,2070,2.11,,
_,SH-650x250x14x22,650,250,14,22,7,2,150,－,16,890,16,100,6,3,90,9,530,410,1270,3590,1360,1.2,66.36,2170,1.88,,
*,SH-650x250x14x25,650,250,14,25,8,2,150,－,16,1010,19,100,6,3,90,9,530,410,1380,3910,1340,1.2,65.52,2350,2.07,,
_,SH-650x250x16x22,650,250,16,22,7,2,150,－,16,890,16,100,7,3,60,16,440,410,1310,3700,1480,1.2,72.32,2260,1.79,,
_,SH-650x250x16x25,650,250,16,25,8,2,150,－,16,1010,19,100,7,3,60,16,440,410,1420,4020,1460,1.2,71.36,2440,1.97,,
_,SH-650x250x16x28,650,250,16,28,9,2,150,－,19,1130,22,100,7,3,60,16,440,410,1530,4330,1440,1.2,70.4,2620,2.15,,
_,SH-650x300x12x22,650,300,12,22,8,2,150,40,16,800,16,110,6,2,90,9,530,290,1390,3920,1160,1.2,56.88,2310,2.42,,
_,SH-650x300x14x22,650,300,14,22,8,2,150,40,16,800,16,110,7,3,60,12,440,410,1430,4040,1290,1.2,63.28,2410,2.26,,
_,SH-650x300x14x25,650,300,14,25,9,2,150,40,16,890,19,110,7,3,60,12,440,410,1560,4410,1270,1.2,62.44,2620,2.5,,
_,SH-650x300x16x22,650,300,16,22,8,2,150,40,16,800,16,110,7,3,60,16,440,410,1470,4150,1480,1.2,72.32,2500,2.04,,
_,SH-650x300x16x25,650,300,16,25,9,2,150,40,16,890,19,110,7,3,60,16,440,410,1600,4530,1460,1.2,71.36,2710,2.25,,
_,SH-650x300x16x28,650,300,16,28,10,2,150,40,19,980,22,110,7,3,60,16,440,410,1730,4890,1440,1.2,70.4,2920,2.47,,
_,SH-700x250x12x22,700,250,12,22,7,2,150,－,16,890,16,100,8,2,60,9,500,290,1370,3870,1180,1.2,57.6,2310,2.31,,
_,SH-700x250x12x25,700,250,12,25,8,2,150,－,16,1010,19,100,8,2,60,9,500,290,1490,4220,1160,1.2,56.88,2510,2.55,,
_,SH-700x250x14x22,700,250,14,22,7,2,150,－,16,890,16,100,6,3,90,12,530,410,1420,4000,1500,1.2,73.36,2420,1.89,,
_,SH-700x250x14x25,700,250,14,25,8,2,150,－,16,1010,19,100,6,3,90,12,530,410,1540,4350,1480,1.2,72.52,2620,2.08,,
_,SH-700x300x12x22,700,300,12,22,8,2,150,40,16,800,16,110,8,2,60,9,500,290,1540,4350,1180,1.2,57.6,2570,2.65,,
_,SH-700x300x12x25,700,300,12,25,9,2,150,40,16,890,19,110,8,2,60,9,500,290,1690,4770,1160,1.2,56.88,2790,2.94,,
_,SH-700x300x14x22,700,300,14,22,8,2,150,40,16,800,16,110,9,2,60,9,560,290,1590,4490,1310,1.2,64.12,2680,2.47,,
_,SH-700x300x14x25,700,300,14,25,9,2,150,40,16,890,19,110,9,2,60,9,560,290,1730,4900,1290,1.2,63.28,2890,2.73,,
_,SH-700x300x14x28,700,300,14,28,10,2,150,40,19,980,22,110,9,2,60,9,560,290,1880,5300,1270,1.2,62.44,3140,3,,
_,SH-700x300x16x22,700,300,16,22,8,2,150,40,16,800,19,110,6,3,90,12,530,410,1640,4620,1710,1.2,83.94,2790,1.96,,
_,SH-700x300x16x25,700,300,16,25,9,2,150,40,19,890,19,110,6,3,90,12,530,410,1780,5030,1690,1.2,82.88,3020,2.15,,
_,SH-700x300x16x28,700,300,16,28,10,2,150,40,19,980,22,110,6,3,90,12,530,410,1920,5430,1670,1.2,81.92,3250,2.35,,
_,SH-700x300x16x32,700,300,16,32,11,2,150,40,22,1070,22,110,6,3,90,12,530,410,2110,5950,1650,1.2,80.64,3540,2.62,,
_,SH-700x350x12x22,700,350,12,22,5,4,140,70,16,650,19,140,7,2,60,12,440,290,1660,4680,1230,1.1,60.24,2750,2.86,,
_,SH-700x350x12x25,700,350,12,25,6,4,140,70,19,770,22,140,7,2,60,12,440,290,1820,5130,1210,1.1,59.52,3000,3.18,,
_,SH-700x350x14x22,700,350,14,22,5,4,140,70,16,650,19,140,5,3,120,9,560,410,1700,4810,1560,1.1,76.44,2860,2.32,,
_,SH-700x350x14x25,700,350,14,25,6,4,140,70,19,770,22,140,5,3,120,9,560,410,1860,5260,1540,1.1,75.6,3110,2.58,,
_,SH-700x350x14x28,700,350,14,28,6,4,140,70,19,770,22,140,5,3,120,9,560,410,2020,5710,1530,1.1,74.76,3360,2.83,,
_,SH-700x350x16x25,700,350,16,25,6,4,140,70,19,770,22,140,6,3,90,12,530,410,1910,5390,1690,1.1,82.88,3220,2.42,,
