*,key,H,B,tw,tf,nF,mF,g1,g2,stfo,spL,stfi,spBi,mW,nW,Pc,stw,stB,stL,My,dZ,Qy,dAw,Mu,αj,Lq,L1,L2
FALSE,H-294x200x8x12,294,200,8,12,3,2,120,ー,9,410,9,80,2,1,120,6,200,170,141,600,240,17.76,271,1.3,1.26,8.08,2.05
FALSE,H-340x250x9x14,340,250,9,14,3,2,150,ー,12,410,12,100,3,1,60,9,200,170,244,1040,293,21.6,455,1.4,1.7,10.3,2.58
FALSE,H-400x200x8x13,400,200,8,13,3,2,120,ー,9,410,9,80,3,1,90,9,260,170,220,939,327,24.16,390,1.2,1.44,7.76,1.63
FALSE,H-390x300x10x16,390,300,10,16,3,2,150,40,12,350,12,110,3,1,90,9,260,170,367,1560,388,28.6,603,1.2,1.99,12.5,3.08
FALSE,H-450x200x9x14,450,200,9,14,3,2,120,ー,12,410,12,80,4,1,60,12,260,170,276,1180,398,29.34,543,1.4,1.49,7.53,1.56
FALSE,H-440x300x11x18,440,300,11,18,4,2,150,40,12,440,12,110,5,1,60,9,320,170,471,2010,423,31.24,849,1.3,2.34,12.34,3.07
FALSE,H-500x200x10x16,500,200,10,16,3,2,120,ー,12,410,12,80,4,1,90,9,350,170,355,1510,504,37.2,670,1.3,1.52,7.42,1.6
FALSE,H-488x300x11x18,488,300,11,18,4,2,150,40,12,440,12,110,5,1,60,12,320,170,536,2280,495,36.52,938,1.2,2.27,12.14,2.77
FALSE,H-600x200x11x17,600,200,11,17,3,2,120,ー,12,410,12,80,7,1,60,9,440,170,483,2060,593,43.78,865,1.2,1.76,7.07,1.42
FALSE,H-588x300x12x20,588,300,12,20,4,2,150,40,12,440,16,110,7,1,60,9,440,170,743,3160,618,45.6,1330,1.3,2.53,11.8,2.56
FALSE,H-700x300x13x24,700,300,13,24,5,2,150,40,19,530,19,110,9,1,60,9,560,170,1080,4610,769,56.68,2100,1.4,2.96,11.62,2.58
FALSE,H-800x300x14x26,800,300,14,26,5,2,150,40,19,530,19,110,10,1,60,12,620,170,1380,5870,964,71.12,2610,1.3,3.02,11.34,2.44
FALSE,H-890x299x15x23,890,299,15,23,5,2,150,40,16,530,19,110,12,1,60,12,740,170,1480,6330,1130,83.4,2830,1.3,2.78,10.55,1.94
FALSE,H-900x300x16x28,900,300,16,28,6,2,150,40,19,620,22,110,12,1,60,12,740,170,1740,7430,1200,88.96,3280,1.3,3.07,10.93,2.34
FALSE,H-912x302x18x34,912,302,18,34,7,2,150,40,25,710,25,110,10,2,60,16,620,290,2080,8870,1470,108.7,4140,1.4,3.01,11.21,2.82
