key,型番,中間支保工,ρ,t,0.8(I),1.0(I),1.2(I),1.4(I),1.6(I),1.0(II),1.2(II),0.8(III)
JF75・JF75W_24-120,JF75・JF75W,_,24,120,2610,2870,3043,3160,3270,2660,2910,2130
JF75・JF75W_24-125,JF75・JF75W,_,24,125,2580,2850,3010,3130,3250,2630,2870,2100
JF75・JF75W_24-130,JF75・JF75W,_,24,130,2540,2830,2990,3110,3220,2590,2840,2080
JF75・JF75W_24-135,JF75・JF75W,_,24,135,2510,2810,2960,3090,3200,2560,2800,2050
JF75・JF75W_24-140,JF75・JF75W,_,24,140,2480,2790,2940,3060,3170,2530,2770,2030
JF75・JF75W_24-145,JF75・JF75W,_,24,145,2450,2770,2920,3040,3150,2500,2740,2000
JF75・JF75W_24-150,JF75・JF75W,_,24,150,2420,2750,2900,3020,3130,2470,2700,1980
JF75・JF75W_24-155,JF75・JF75W,_,24,155,2400,2730,2880,3000,3110,2440,2670,1960
JF75・JF75W_24-160,JF75・JF75W,_,24,160,2370,2700,2860,2980,3080,2410,2640,1930
JF75・JF75W_24-165,JF75・JF75W,_,24,165,2340,2670,2840,2960,3060,2390,2620,1910
JF75・JF75W_24-170,JF75・JF75W,_,24,170,2320,2640,2820,2940,3040,2360,2590,1890
JF75・JF75W_24-175,JF75・JF75W,_,24,175,2300,2620,2800,2920,3020,2340,2560,1870
JF75・JF75W_24-180,JF75・JF75W,_,24,180,2270,2590,2790,2900,3010,2320,2540,1850
JF75・JF75W_24-185,JF75・JF75W,_,24,185,2250,2560,2770,2880,2990,2290,2510,1840
JF75・JF75W_24-190,JF75・JF75W,_,24,190,2230,2540,2750,2870,2970,2270,2490,1820
JF75・JF75W_24-195,JF75・JF75W,_,24,195,2210,2510,2740,2850,2950,2250,2460,1800
JF75・JF75W_24-200,JF75・JF75W,_,24,200,2180,2490,2720,2830,2940,2230,2440,1780
JF75・JF75W_24-250,JF75・JF75W,_,24,250,2000,2290,2500,2690,2790,2040,2240,1640
JF75・JF75W_24-300,JF75・JF75W,_,24,300,1860,2120,2330,2510,2660,1900,2080,1520
JF75・JF75W_20-120,JF75・JF75W,_,20,120,2760,2980,3140,3270,3390,2810,3080,2260
JF75・JF75W_20-125,JF75・JF75W,_,20,125,2730,2950,3120,3250,3360,2780,3040,2230
JF75・JF75W_20-130,JF75・JF75W,_,20,130,2700,2930,3100,3220,3340,2750,3010,2200
JF75・JF75W_20-135,JF75・JF75W,_,20,135,2670,2910,3070,3200,3310,2710,2970,2180
JF75・JF75W_20-140,JF75・JF75W,_,20,140,2640,2890,3050,3180,3290,2680,2940,2150
JF75・JF75W_20-145,JF75・JF75W,_,20,145,2610,2870,3030,3150,3270,2650,2900,2130
JF75・JF75W_20-150,JF75・JF75W,_,20,150,2580,2850,3010,3130,3250,2630,2870,2100
JF75・JF75W_20-155,JF75・JF75W,_,20,155,2550,2830,2990,3110,3220,2600,2840,2080
JF75・JF75W_20-160,JF75・JF75W,_,20,160,2520,2810,2970,3090,3200,2570,2810,2060
JF75・JF75W_20-165,JF75・JF75W,_,20,165,2500,2800,2950,3070,3180,2540,2780,2040
JF75・JF75W_20-170,JF75・JF75W,_,20,170,2470,2780,2940,3060,3160,2520,2760,2020
JF75・JF75W_20-175,JF75・JF75W,_,20,175,2450,2760,2920,3040,3150,2490,2730,2000
JF75・JF75W_20-180,JF75・JF75W,_,20,180,2420,2750,2900,3020,3130,2470,2700,1980
JF75・JF75W_20-185,JF75・JF75W,_,20,185,2400,2730,2880,3000,3110,2450,2680,1960
JF75・JF75W_20-190,JF75・JF75W,_,20,190,2380,2710,2870,2980,3090,2420,2650,1940
JF75・JF75W_20-195,JF75・JF75W,_,20,195,2360,2690,2850,2970,3070,2400,2630,1920
JF75・JF75W_20-200,JF75・JF75W,_,20,200,2340,2660,2840,2950,3060,2380,2610,1910
JF75・JF75W_20-250,JF75・JF75W,_,20,250,2150,2450,2690,2810,2910,2190,2400,1760
JF75・JF75W_20-300,JF75・JF75W,_,20,300,2000,2290,2500,2690,2790,2040,2240,1640
JF75・JF75W中間支保工24-120,JF75・JF75W,中間支保工,24,120,4370,4900,4900,,,4900,4900,4270
JF75・JF75W中間支保工24-130,JF75・JF75W,中間支保工,24,130,4150,4900,4900,,,4900,4900,4150
JF75・JF75W中間支保工24-140,JF75・JF75W,中間支保工,24,140,3950,4900,4900,,,4900,4900,3950
JF75・JF75W中間支保工24-150,JF75・JF75W,中間支保工,24,150,3770,4900,4900,,,4900,4900,3770
JF75・JF75W中間支保工24-160,JF75・JF75W,中間支保工,24,160,3600,4900,4900,,,4830,4900,3600
JF75・JF75W中間支保工24-170,JF75・JF75W,中間支保工,24,170,3450,4900,4900,,,4730,4900,3450
JF75・JF75W中間支保工24-180,JF75・JF75W,中間支保工,24,180,3310,4900,4900,,,4640,4900,3310
JF75・JF75W中間支保工24-190,JF75・JF75W,中間支保工,24,190,3180,4750,4900,,,4540,4900,3180
JF75・JF75W中間支保工24-200,JF75・JF75W,中間支保工,24,200,3060,4570,4900,,,4460,4880,3060
JF75・JF75W中間支保工24-250,JF75・JF75W,中間支保工,24,250,2570,3850,4900,,,3850,4480,2570
JF75・JF75W中間支保工24-300,JF75・JF75W,中間支保工,24,300,2220,3330,4420,,,3330,4170,2220
JF75・JF75W中間支保工20-120,JF75・JF75W,中間支保工,20,120,4900,4900,4900,,,4900,4900,4520
JF75・JF75W中間支保工20-130,JF75・JF75W,中間支保工,20,130,4670,4900,4900,,,4900,4900,4410
JF75・JF75W中間支保工20-140,JF75・JF75W,中間支保工,20,140,4450,4900,4900,,,4900,4900,4310
JF75・JF75W中間支保工20-150,JF75・JF75W,中間支保工,20,150,4260,4900,4900,,,4900,4900,4210
JF75・JF75W中間支保工20-160,JF75・JF75W,中間支保工,20,160,4080,4900,4900,,,4900,4900,4080
JF75・JF75W中間支保工20-170,JF75・JF75W,中間支保工,20,170,3920,4900,4900,,,4900,4900,3920
JF75・JF75W中間支保工20-180,JF75・JF75W,中間支保工,20,180,3770,4900,4900,,,4900,4900,3770
JF75・JF75W中間支保工20-190,JF75・JF75W,中間支保工,20,190,3630,4900,4900,,,4850,4900,3630
JF75・JF75W中間支保工20-200,JF75・JF75W,中間支保工,20,200,3500,4900,4900,,,4770,4900,3500
JF75・JF75W中間支保工20-250,JF75・JF75W,中間支保工,20,250,2970,4430,4900,,,4390,4810,2970
JF75・JF75W中間支保工20-300,JF75・JF75W,中間支保工,20,300,2570,3850,4900,,,3850,4480,2570
JF75α_24-120,JF75α,_,24,120,2720,2910,3060,3190,3300,2910,3060,2370
JF75α_24-125,JF75α,_,24,125,2700,2890,3040,3160,3280,2880,3040,2340
JF75α_24-130,JF75α,_,24,130,2680,2860,3010,3140,3250,2840,3010,2310
JF75α_24-135,JF75α,_,24,135,2660,2840,2990,3110,3230,2810,2990,2280
JF75α_24-140,JF75α,_,24,140,2640,2820,2970,3090,3200,2770,2970,2260
JF75α_24-145,JF75α,_,24,145,2620,2800,2950,3070,3180,2740,2950,2230
JF75α_24-150,JF75α,_,24,150,2600,2780,2930,3050,3160,2710,2930,2200
JF75α_24-155,JF75α,_,24,155,2580,2760,2910,3030,3130,2680,2910,2180
JF75α_24-160,JF75α,_,24,160,2570,2740,2890,3000,3110,2650,2890,2150
JF75α_24-165,JF75α,_,24,165,2550,2720,2870,2980,3090,2620,2870,2130
JF75α_24-170,JF75α,_,24,170,2530,2710,2850,2970,3070,2590,2850,2110
JF75α_24-175,JF75α,_,24,175,2520,2690,2830,2950,3050,2570,2820,2090
JF75α_24-180,JF75α,_,24,180,2500,2670,2810,2930,3030,2540,2790,2060
JF75α_24-185,JF75α,_,24,185,2480,2660,2790,2910,3020,2510,2760,2040
JF75α_24-190,JF75α,_,24,190,2470,2640,2780,2890,3000,2490,2730,2020
JF75α_24-195,JF75α,_,24,195,2450,2620,2760,2880,2980,2470,2710,2000
JF75α_24-200,JF75α,_,24,200,2430,2610,2750,2860,2960,2440,2680,1980
JF75α_24-250,JF75α,_,24,250,2230,2470,2600,2710,2810,2240,2460,1820
JF75α_24-300,JF75α,_,24,300,2070,2330,2490,2590,2690,2080,2290,1690
JF75α_20-120,JF75α,_,20,120,2820,3010,3170,3300,3420,3010,3170,2510
JF75α_20-125,JF75α,_,20,125,2800,2990,3150,3280,3390,2990,3150,2480
JF75α_20-130,JF75α,_,20,130,2780,2970,3120,3250,3370,2970,3120,2450
JF75α_20-135,JF75α,_,20,135,2760,2950,3100,3230,3340,2950,3100,2420
JF75α_20-140,JF75α,_,20,140,2740,2930,3080,3210,3320,2930,3080,2400
JF75α_20-145,JF75α,_,20,145,2720,2910,3060,3180,3300,2910,3060,2370
JF75α_20-150,JF75α,_,20,150,2700,2890,3040,3160,3280,2880,3040,2340
JF75α_20-155,JF75α,_,20,155,2680,2870,3020,3140,3260,2850,3020,2320
JF75α_20-160,JF75α,_,20,160,2670,2850,3000,3120,3230,2820,3000,2290
JF75α_20-165,JF75α,_,20,165,2650,2830,2980,3100,3210,2790,2980,2270
JF75α_20-170,JF75α,_,20,170,2630,2810,2960,3080,3190,2760,2960,2250
JF75α_20-175,JF75α,_,20,175,2620,2800,2940,3060,3180,2740,2940,2220
JF75α_20-180,JF75α,_,20,180,2600,2780,2930,3050,3160,2710,2930,2200
