key,型番,t,cIn,cZc,cZt,cSn,eI,eZt,cXn,eXn,軽量1種,軽量2種,普通,単純,2連続,3連続,単純めっきなし,2連続めっきなし,3連続めっきなし
QL99-50-10_t60,QL99-50-10,60,6860,1670,66.4,844,10100,1950,4.11,5.2,1689,1523,2022,2.38,3.2,2.95,,,
QL99-50-10_t70,QL99-50-10,70,8680,1960,76.4,977,13100,2300,4.42,5.69,1879,1693,2252,2.33,3.13,2.88,,,
QL99-50-10_t80,QL99-50-10,80,10700,2280,86.7,1110,16600,2690,4.71,6.18,2069,1863,2482,2.28,3.06,2.82,,,
QL99-50-10_t90,QL99-50-10,90,13100,2620,97.3,1240,20800,3110,4.99,6.68,2259,2033,2712,2.24,3.01,2.77,,,
QL99-50-10_t100,QL99-50-10,100,15700,2990,108,1380,25600,3570,5.27,7.17,2449,2203,2942,2.2,2.95,2.72,,,
QL99-50-12_t60,QL99-50-12,60,7740,1770,77.8,955,10700,2010,4.37,5.32,1709,1543,2042,2.52,3.38,3.12,2.52,3.38,3.12
QL99-50-12_t70,QL99-50-12,70,9800,2080,89.6,1100,13800,2370,4.7,5.81,1899,1713,2272,2.47,3.31,3.05,2.47,3.31,3.05
QL99-50-12_t80,QL99-50-12,80,12100,2420,101,1260,17500,2770,5.02,6.31,2089,1883,2502,2.42,3.24,2.99,2.42,3.24,2.99
QL99-50-12_t90,QL99-50-12,90,14800,2780,114,1420,21800,3200,5.33,6.81,2279,2053,2732,2.37,3.18,2.93,2.37,3.15,2.93
QL99-50-12_t100,QL99-50-12,100,17800,3170,127,1580,26800,3660,5.63,7.31,2469,2223,2962,2.33,3.12,2.88,2.33,3.07,2.88
QL99-50-16_t60,QL99-50-16,60,9260,1930,99.4,1140,11700,2120,4.79,5.53,1751,1585,2084,2.75,3.67,3.4,2.75,3.67,3.4
QL99-50-16_t70,QL99-50-16,70,11700,2270,114,1330,15000,2490,5.17,6.04,1941,1755,2314,2.69,3.61,3.33,2.69,3.61,3.33
QL99-50-16_t80,QL99-50-16,80,14600,2640,130,1530,19000,2900,5.53,6.55,2131,1925,2544,2.64,3.54,3.26,2.64,3.54,3.26
QL99-50-16_t90,QL99-50-16,90,17800,3030,146,1730,23600,3350,5.88,7.06,2321,2095,2774,2.59,3.47,3.2,2.59,3.47,3.2
QL99-50-16_t100,QL99-50-16,100,21500,3460,163,1930,29000,3830,6.22,7.56,2511,2265,3004,2.54,3.41,3.15,2.54,3.41,3.15
QL99-75-10_t60,QL99-75-10,60,30200,4420,189,2340,43300,5090,6.84,8.5,1945,1753,2330,3.13,3.8,3.63,,,
QL99-75-10_t70,QL99-75-10,70,10900,2350,82.3,1070,17900,2900,4.64,6.18,2135,1923,2560,3.07,3.69,3.57,,,
QL99-75-10_t80,QL99-75-10,80,13200,2670,92.4,1220,22000,3320,4.94,6.65,2325,2093,2790,3.01,3.58,3.5,,,
QL99-75-10_t90,QL99-75-10,90,15800,3020,102,1370,26800,3760,5.23,7.12,2515,2263,3020,2.96,3.49,3.44,,,
QL99-75-10_t100,QL99-75-10,100,18700,3390,113,1520,32200,4240,5.51,7.6,2705,2433,3250,2.91,3.4,3.38,,,
QL99-75-12_t60,QL99-75-12,60,21900,3780,124,1670,38400,4750,5.78,8.09,1967,1775,2352,3.31,4.02,3.78,3.31,3.89,3.78
QL99-75-12_t70,QL99-75-12,70,12400,2510,96.6,1220,18800,2990,4.94,6.3,2157,1945,2582,3.24,3.96,3.73,3.24,3.78,3.73
QL99-75-12_t80,QL99-75-12,80,15000,2840,108,1380,23100,3410,5.26,6.78,2347,2115,2812,3.18,3.91,3.68,3.18,3.67,3.68
QL99-75-12_t90,QL99-75-12,90,17900,3210,120,1560,28000,3860,5.58,7.26,2537,2285,3042,3.13,3.83,3.63,3.13,3.58,3.63
QL99-75-12_t100,QL99-75-12,100,21200,3600,133,1730,33700,4350,5.88,7.74,2727,2455,3272,3.07,3.73,3.58,3,3.49,3.58
QL99-75-16_t60,QL99-75-16,60,24900,4020,146,1910,40100,4870,6.18,8.23,2012,1820,2397,3.61,4.3,4.05,3.61,4.3,4.05
QL99-75-16_t70,QL99-75-16,70,15000,2770,124,1470,20600,3150,5.43,6.52,2202,2990,2627,3.55,4.24,3.99,3.55,4.24,3.99
QL99-75-16_t80,QL99-75-16,80,18200,3140,139,1680,25200,3580,5.8,7.02,2392,2160,2857,3.48,4.18,3.93,3.48,4.18,3.93
QL99-75-16_t90,QL99-75-16,90,21800,3540,155,1890,30400,4050,6.16,7.51,2582,2330,3087,3.42,4.13,3.88,3.42,4.13,3.88
QL99-75-16_t100,QL99-75-16,100,25800,3970,172,2110,36500,4550,6.5,8.01,2772,2500,3317,3.37,4.07,3.83,3.37,4.07,3.83
