key,形状,H,A,B,t,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy
軽溝形鋼-450x75x75x6,軽溝形鋼,450,75,75,6,34.82,27.3,8400,122,15.5,1.87,374,19.4
軽溝形鋼-450x75x75x4.5,軽溝形鋼,450,75,75,4.5,26.33,20.7,6430,94.3,15.6,1.89,286,14.8
軽溝形鋼-400x75x75x6,軽溝形鋼,400,75,75,6,31.82,25,6230,120,14,1.94,312,19.2
軽溝形鋼-400x75x75x4.5,軽溝形鋼,400,75,75,4.5,24.08,18.9,4780,92.2,14.1,1.96,239,14.7
軽溝形鋼-350x50x50x4.5,軽溝形鋼,350,50,50,4.5,19.58,15.4,2750,27.5,11.9,1.19,157,6.48
軽溝形鋼-350x50x50x4,軽溝形鋼,350,50,50,4,17.47,13.7,2470,24.8,11.9,1.19,141,5.81
軽溝形鋼-300x50x50x4.5,軽溝形鋼,300,50,50,4.5,17.33,13.6,1850,26.8,10.3,1.24,123,6.41
軽溝形鋼-300x50x50x4,軽溝形鋼,300,50,50,4,15.47,12.1,1660,24.1,10.4,1.25,111,5.74
軽溝形鋼-250x75x75x6,軽溝形鋼,250,75,75,6,22.82,17.9,1940,107,9.23,2.17,155,18.4
軽溝形鋼-250x50x50x4.5,軽溝形鋼,250,50,50,4.5,15.08,11.8,1160,25.9,8.78,1.31,93,5.31
軽溝形鋼-250x50x50x4,軽溝形鋼,250,50,50,4,13.47,10.6,1050,23.3,8.81,1.32,83.7,5.66
軽溝形鋼-200x75x75x6,軽溝形鋼,200,75,75,6,19.82,15.6,1130,101,7.56,2.25,113,17.9
軽溝形鋼-200x50x50x4.5,軽溝形鋼,200,50,50,4.5,12.83,10.1,666,24.6,7.2,1.38,66.6,6.19
軽溝形鋼-200x50x50x4,軽溝形鋼,200,50,50,4,11.47,9,600,22.2,7.23,1.39,60,5.55
軽溝形鋼-200x50x50x3.2,軽溝形鋼,200,50,50,3.2,9.263,7.27,490,18.2,7.28,1.4,49,4.51
軽溝形鋼-150x75x75x6,軽溝形鋼,150,75,75,6,16.82,13.2,573,91.9,5.84,2.34,76.4,17.2
